id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,cakupan_layanan,jumlah_kepala_keluarga,satuan,tahun
44,32,JAWA BARAT,3215,KABUPATEN KARAWANG,LAYANAN DASAR,31079,KEPALA KELUARGA,2019
45,32,JAWA BARAT,3215,KABUPATEN KARAWANG,BUANG AIR BESAR SEMBARANGAN,73164,KEPALA KELUARGA,2019
46,32,JAWA BARAT,3216,KABUPATEN BEKASI,SANITASI LAYAK,749206,KEPALA KELUARGA,2019
47,32,JAWA BARAT,3216,KABUPATEN BEKASI,LAYANAN DASAR,67264,KEPALA KELUARGA,2019
48,32,JAWA BARAT,3216,KABUPATEN BEKASI,BUANG AIR BESAR SEMBARANGAN,97997,KEPALA KELUARGA,2019
49,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,SANITASI LAYAK,407720,KEPALA KELUARGA,2019
50,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,LAYANAN DASAR,26264,KEPALA KELUARGA,2019
51,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,BUANG AIR BESAR SEMBARANGAN,22845,KEPALA KELUARGA,2019
52,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,SANITASI LAYAK,91486,KEPALA KELUARGA,2019
53,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,LAYANAN DASAR,23316,KEPALA KELUARGA,2019
54,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,BUANG AIR BESAR SEMBARANGAN,29177,KEPALA KELUARGA,2019
55,32,JAWA BARAT,3271,KOTA BOGOR,SANITASI LAYAK,160908,KEPALA KELUARGA,2019
56,32,JAWA BARAT,3271,KOTA BOGOR,LAYANAN DASAR,2273,KEPALA KELUARGA,2019
57,32,JAWA BARAT,3271,KOTA BOGOR,BUANG AIR BESAR SEMBARANGAN,60948,KEPALA KELUARGA,2019
58,32,JAWA BARAT,3272,KOTA SUKABUMI,SANITASI LAYAK,58570,KEPALA KELUARGA,2019
59,32,JAWA BARAT,3272,KOTA SUKABUMI,LAYANAN DASAR,5386,KEPALA KELUARGA,2019
60,32,JAWA BARAT,3272,KOTA SUKABUMI,BUANG AIR BESAR SEMBARANGAN,10376,KEPALA KELUARGA,2019
61,32,JAWA BARAT,3273,KOTA BANDUNG,SANITASI LAYAK,345672,KEPALA KELUARGA,2019
62,32,JAWA BARAT,3273,KOTA BANDUNG,LAYANAN DASAR,10435,KEPALA KELUARGA,2019
63,32,JAWA BARAT,3273,KOTA BANDUNG,BUANG AIR BESAR SEMBARANGAN,213272,KEPALA KELUARGA,2019
64,32,JAWA BARAT,3274,KOTA CIREBON,SANITASI LAYAK,81664,KEPALA KELUARGA,2019
