Tweet
"Putusan MK itu malah lebih parah dripada DPR yg ikut elitnya, putusan MK itu jadinya hanya diusulkan penggugat, disetujui atau enggak sama hakim2 MK, hasilnya harus dipatuhi, sebaik2nya putusan tsb, ttp saja itu proses legislasi yg buruk karena gak ada unsur perwakilan rakyatnya"
"Selanjutnya, Putusan MK dapat menyatakan suatu undang-undang “dicabut” atau “dibatalkan” Namun pencabutan ini berbeda dengan kewenangan 
#KumhamKalsel
#Jumadi
Kanwil Kemenkumham Kalsel
Jumadi"
"""Tanggal 22 itu teman2 HMI sempat demo di sini, saya terima kan El. Saya sudah tanda tangan surat mundur, kalau putusan MK tidak masuk dalam PKPU. Seandainya benar2 gak masuk, mungkin saya gak berdiri di sini..."" ucap Ketua KPU Mochammad Afifuddin dalam sambutannya."
"Gibran anaknya 
@jokowi
 dalam putusan MK 90 tidak eksekutabel lho"
"Ternyata  putusan MK ini NON EKSEKUTABEL
 
@ReflyHZ
@msaid_didu
@_Palestine5
@abu_waras
@SBYudhoyono
@prabowo
@puanmaharani_ri
@aniesbaswedan"
"Waktu putusan MK 90 kemana saja ?
Mengapa kok malah mendukung Prabowo Gibran ?
Waktu Jokowi cawe2 tidak netral dlm pemilu yg diduga melanggar Undang2 kok diam saja ?

Itu bukan tindakan menjaga Marwah Demokrasi,tapi malah melakukan pembiaran trhdp perusakan tatanan Demokrasi."
"anjer bilang makasih malam dicap dua sisi, lucu juga "
"Putusan yg ngga adil masak iyaa harus patuh..
Kaya Jkw aja, ktnya putusan MK final dan mengikat, tpi klo rugiin anaknya ngga mau bilang final dan mengikat."
"Contoh kasus tahapan pendaftaran di tapanuli tengah, yg awal nya PDI-P memberikan rekom tgl 22 Agustus kepada pasangan ""kedan"" krn diawal sebelum tgl 21 putusan mk pdip yg hanya memiliki 4 kursi dari 35 kursi dprd tapanuli tengah tdk ada peluang dan mungkin tdk ada teman koalisi"
"vote buat putusan mk kmrn, kan di anulir dpr, yg setuju cm pdip akhirnya besoknya sidang lagi trs gerindra ngusulin setuju sm pdip, komandonya berubah arah dari prabowo, yg lain kan kim plus dibawah komando mulyono semua itu gasetuju sm putusan mk"
"Dulu sebelum ada Putusan MK No.60, misalkan di Jatim sana cuma ada calon tunggal.

Saya dkk....sudah ada niat buat pilih KK. Biar warning buat calon tunggal saja.

Kalau sekarang?. Ada 3 srikandi hebat. Wanita2 luar biasa.

Insya Allah....bakal coblos salah 1 nanti 27 November."
"Ketua KPU RI Mochammad Afifuddin mengatakan dirinya sempat menandatangani surat mundur sebagai Ketua KPU, jika putusan Mahkamah Konstitusi (MK) tidak diakomodir dalam PKPU pencalonan Pilkada. Afif mengatakan surat itu ditandatangani saat dinamika putusan MK.

Hal itu disampaikan"
"Ketua KPU RI Mochammad Afifuddin mengatakan dirinya sempat menandatangani surat mundur sebagai Ketua KPU, jika putusan Mahkamah Konstitusi (MK) tidak diakomodir dalam PKPU pencalonan Pilkada. Afif mengatakan surat itu ditandatangani saat dinamika putusan MK.

Hal itu disampaikan"
Putusan MK modelnya bgini kan?
