Date,Duration,Tag,Attention,Relaxation,Delta,Theta,Low-Alpha,High-Alpha,Low-Beta,High-Beta,Low-Gamma,Mid-Gamma,SyncRate,Time-set
2024-06-20 10:09:13,653.0,Test,53,24,122130,14521,1548,1838,1646,6656,2343,1490,0,1
2024-06-20 10:09:13,653.0,Test,48,26,3574,11742,2352,1784,1268,2133,2415,1860,0,2
2024-06-20 10:09:13,653.0,Test,43,1,67620,72544,2338,119,3365,3352,2800,1877,0,3
2024-06-20 10:09:13,653.0,Test,54,24,165968,7601,3078,2167,3758,2322,1016,438,0,4
2024-06-20 10:09:13,653.0,Test,23,43,95851,145311,42220,29029,3533,4086,4375,2306,0,5
2024-06-20 10:09:13,653.0,Test,34,43,67884,33592,2458,12708,16156,17741,8481,4098,0,6
2024-06-20 10:09:13,653.0,Test,60,63,22184,40369,6243,11449,14718,31065,8470,3906,0,7
2024-06-20 10:09:13,653.0,Test,60,64,33761,8990,2115,4444,2202,3270,1495,637,0,8
2024-06-20 10:09:13,653.0,Test,81,54,44939,57592,4150,10724,8069,9807,4294,1368,0,9
2024-06-20 10:09:13,653.0,Test,70,67,42176,19925,11766,12808,5850,6754,3953,3272,65,10
2024-06-20 10:09:13,653.0,Test,57,77,31762,49030,23458,8305,13131,10727,5754,2986,67,11
2024-06-20 10:09:13,653.0,Test,56,84,674457,31605,36165,5061,6546,11953,9486,2085,70,12
2024-06-20 10:09:13,653.0,Test,56,97,427616,290730,159900,149071,47869,95030,68730,30064,64,13
2024-06-20 10:09:13,653.0,Test,41,100,117004,23960,15924,5853,1308,1774,8416,4484,65,14
2024-06-20 10:09:13,653.0,Test,40,91,165913,261674,64130,8270,15628,44758,22196,14304,51,15
2024-06-20 10:09:13,653.0,Test,40,90,175144,15684,11086,4360,4695,4843,9699,3409,27,16
2024-06-20 10:09:13,653.0,Test,38,78,192851,74838,9411,14317,4406,12861,7283,2971,29,17
2024-06-20 10:09:13,653.0,Test,44,63,100653,39685,3693,6202,2035,3428,4538,972,30,18
2024-06-20 10:09:13,653.0,Test,53,64,489485,39886,11633,3440,4763,16373,2628,1977,36,19
2024-06-20 10:09:13,653.0,Test,56,51,114506,68815,16633,8087,40855,19229,18348,3549,35,20
2024-06-20 10:09:13,653.0,Test,60,54,194970,4772,1231,1932,3404,1466,1402,531,30,21
2024-06-20 10:09:13,653.0,Test,54,43,464156,115070,2107,8307,12119,5193,3358,3437,24,22
2024-06-20 10:09:13,653.0,Test,34,48,419318,145817,61374,2631,4929,7444,8480,5172,30,23
2024-06-20 10:09:13,653.0,Test,7,35,220273,171432,7723,2186,4709,1881,5367,2311,49,24
2024-06-20 10:09:13,653.0,Test,1,23,484969,69062,1509,6362,1308,3683,3056,2652,59,25
