Date,Duration,Tag,Attention,Relaxation,Delta,Theta,Low-Alpha,High-Alpha,Low-Beta,High-Beta,Low-Gamma,Mid-Gamma,SyncRate,Time-set
2024-06-03 14:48:32,1018.0,Test,66,63,13866,6121,2111,23580,10437,7710,11059,2189,0,1
2024-06-03 14:48:32,1018.0,Test,69,77,27553,5948,6106,13621,6495,9186,9578,3650,0,2
2024-06-03 14:48:32,1018.0,Test,81,84,5878,5520,6926,2835,13680,10756,16930,2606,0,3
2024-06-03 14:48:32,1018.0,Test,91,87,4527,21615,12655,5693,12616,26398,12919,8007,0,4
2024-06-03 14:48:32,1018.0,Test,88,83,46454,30374,20895,24173,12193,14126,5300,3048,0,5
2024-06-03 14:48:32,1018.0,Test,87,74,30897,21034,14414,2053,8706,12805,5506,8864,0,6
2024-06-03 14:48:32,1018.0,Test,77,83,23094,6310,9932,4778,7516,7117,3353,5161,0,7
2024-06-03 14:48:32,1018.0,Test,60,83,3630,12869,4142,3218,8923,3372,2519,1253,0,8
2024-06-03 14:48:32,1018.0,Test,57,69,4671,22601,1639,10339,6888,5758,4040,2799,0,9
2024-06-03 14:48:32,1018.0,Test,60,77,232344,2839,4419,850,1773,3263,1466,685,73,10
2024-06-03 14:48:32,1018.0,Test,34,57,1677952,257896,28658,27226,8556,5739,7628,2902,74,11
2024-06-03 14:48:32,1018.0,Test,44,60,52318,17678,8455,9652,21503,15055,4409,4726,69,12
2024-06-03 14:48:32,1018.0,Test,51,78,13509,3518,8570,4075,1424,3683,1490,509,64,13
2024-06-03 14:48:32,1018.0,Test,51,66,18639,11862,3591,1958,2813,6807,6696,1321,62,14
2024-06-03 14:48:32,1018.0,Test,88,75,10479,3698,3852,8841,16478,11505,2197,2785,63,15
2024-06-03 14:48:32,1018.0,Test,88,90,18109,11106,27208,4223,4257,17142,3469,1404,67,16
2024-06-03 14:48:32,1018.0,Test,77,90,11136,5243,19398,36169,8961,4515,1804,1444,70,17
2024-06-03 14:48:32,1018.0,Test,70,93,6924,23686,4512,12129,8356,8967,2767,2703,76,18
2024-06-03 14:48:32,1018.0,Test,50,91,8622,43282,11243,18735,5347,5514,2675,1199,69,19
2024-06-03 14:48:32,1018.0,Test,50,80,4382,11149,8408,4997,1660,10316,7157,2324,79,20
2024-06-03 14:48:32,1018.0,Test,69,48,4017,22433,1078,7408,20339,17860,67938,5108,66,21
2024-06-03 14:48:32,1018.0,Test,70,53,96288,16961,10734,21867,23686,12357,6059,2459,55,22
2024-06-03 14:48:32,1018.0,Test,88,50,64870,20176,5400,18763,15807,16299,3864,1903,53,23
2024-06-03 14:48:32,1018.0,Test,70,57,17793,41911,59419,28822,8159,11603,3597,1463,39,24
2024-06-03 14:48:32,1018.0,Test,57,67,8849,56030,22995,4076,9696,14133,5149,4106,35,25
2024-06-03 14:48:32,1018.0,Test,57,54,6619,32946,3006,5558,4066,9812,3333,5238,32,26
2024-06-03 14:48:32,1018.0,Test,56,56,26733,12387,8325,5548,4195,8881,7440,2876,28,27
2024-06-03 14:48:32,1018.0,Test,70,50,22770,12823,11768,3955,2819,10603,4961,1992,24,28
2024-06-03 14:48:32,1018.0,Test,81,57,15012,12508,9299,22763,10239,18059,3670,549,28,29
2024-06-03 14:48:32,1018.0,Test,80,67,28739,28614,7147,8586,2907,8924,8552,2390,49,30
2024-06-03 14:48:32,1018.0,Test,66,60,12381,52375,14163,3345,4790,5878,5122,1452,46,31
2024-06-03 14:48:32,1018.0,Test,60,56,2591,23417,11477,6128,2144,8231,6468,5616,43,32
2024-06-03 14:48:32,1018.0,Test,50,53,14612,23516,14659,10523,6597,7428,3776,3187,56,33
2024-06-03 14:48:32,1018.0,Test,50,61,17212,3204,2592,5698,5048,2543,1511,500,51,34
2024-06-03 14:48:32,1018.0,Test,63,66,53625,30155,9090,12959,4606,15037,7005,1738,62,35
2024-06-03 14:48:32,1018.0,Test,64,75,13986,7503,17063,3874,6099,6683,3044,922,59,36
2024-06-03 14:48:32,1018.0,Test,78,64,4539,8065,5754,4198,17981,11996,2623,1245,58,37
2024-06-03 14:48:32,1018.0,Test,83,64,5975,7422,4769,18842,7330,11758,2091,1058,57,38
2024-06-03 14:48:32,1018.0,Test,90,67,8135,10887,5739,13387,7840,15153,8577,3972,59,39
2024-06-03 14:48:32,1018.0,Test,87,63,10438,33204,14335,28757,9998,14650,6182,3580,64,40
2024-06-03 14:48:32,1018.0,Test,66,66,16101,79017,10330,25612,21262,10521,14389,8779,67,41
2024-06-03 14:48:32,1018.0,Test,57,56,12932,48980,17417,7232,5581,10735,6925,7430,71,42
2024-06-03 14:48:32,1018.0,Test,47,41,6888,44981,4964,3830,12466,8217,31885,7647,69,43
2024-06-03 14:48:32,1018.0,Test,56,37,21957,15669,12591,5215,5300,17207,8657,2461,67,44
2024-06-03 14:48:32,1018.0,Test,93,34,2846,17363,2956,5072,8274,20234,15026,5327,53,46
2024-06-03 14:48:32,1018.0,Test,94,51,27717,36181,21372,14202,6969,12452,10273,3419,54,47
2024-06-03 14:48:32,1018.0,Test,87,57,12988,30263,41694,23744,26215,19329,16616,2779,53,48
2024-06-03 14:48:32,1018.0,Test,78,54,3607,4820,1981,3362,6240,3098,742,1051,50,49
2024-06-03 14:48:32,1018.0,Test,63,64,70879,37969,9211,17889,11010,12208,3048,4202,45,50
2024-06-03 14:48:32,1018.0,Test,50,44,65528,143129,7384,8308,5124,7170,16828,4262,47,51
2024-06-03 14:48:32,1018.0,Test,67,23,15135,7775,607,3423,6729,19370,31076,1604,53,52
2024-06-03 14:48:32,1018.0,Test,53,14,111809,28410,6353,312,2269,2887,3326,859,64,53
2024-06-03 14:48:32,1018.0,Test,56,17,7058,13514,8591,11653,4966,13236,8786,2738,66,54
2024-06-03 14:48:32,1018.0,Test,75,37,33638,12531,667,19961,10992,13063,8757,2240,58,55
2024-06-03 14:48:32,1018.0,Test,69,54,12129,3955,2572,10200,4822,15424,5805,1610,58,56
2024-06-03 14:48:32,1018.0,Test,83,66,71779,3078,3721,1628,2883,3429,2152,1970,60,57
2024-06-03 14:48:32,1018.0,Test,80,56,25582,27690,6758,6321,12077,8658,6335,4254,62,58
2024-06-03 14:48:32,1018.0,Test,83,48,5539,3776,1237,1265,2418,3579,1457,2655,64,59
2024-06-03 14:48:32,1018.0,Test,70,51,6880,35120,58469,826,15046,21482,16215,5387,75,60
2024-06-03 14:48:32,1018.0,Test,78,47,7603,10639,5753,6550,6198,20695,11522,6765,80,61
2024-06-03 14:48:32,1018.0,Test,75,54,4503,27729,19388,5109,3664,7664,18969,4072,87,62
2024-06-03 14:48:32,1018.0,Test,64,54,5473,32424,1724,9886,5052,7759,13507,4316,81,63
2024-06-03 14:48:32,1018.0,Test,61,48,19780,35552,13674,14277,13877,10577,3955,3696,60,64
2024-06-03 14:48:32,1018.0,Test,50,40,3173,61296,1875,10901,10763,17747,9278,8585,68,65
2024-06-03 14:48:32,1018.0,Test,54,29,16115,45291,7409,10915,8953,16701,8012,3130,63,66
2024-06-03 14:48:32,1018.0,Test,56,27,33216,101724,18649,11054,5520,34184,5792,5495,63,67
2024-06-03 14:48:32,1018.0,Test,67,24,12605,23521,7990,10067,11339,22510,8081,2839,58,68
2024-06-03 14:48:32,1018.0,Test,77,26,27304,25780,6129,4820,6028,21892,4393,6133,52,69
2024-06-03 14:48:32,1018.0,Test,84,24,10564,19802,6477,2310,5026,17882,18913,2850,42,70
2024-06-03 14:48:32,1018.0,Test,90,21,1163,39691,3687,7276,7879,21416,6380,2904,32,71
2024-06-03 14:48:32,1018.0,Test,100,17,10675,5656,5090,6122,5500,34318,4848,1529,26,72
2024-06-03 14:48:32,1018.0,Test,100,24,9523,3681,8028,675,5848,16143,5448,1601,25,73
2024-06-03 14:48:32,1018.0,Test,96,38,126629,4758,4709,2643,3063,2898,5012,1280,36,74
2024-06-03 14:48:32,1018.0,Test,94,51,8520,26324,7545,22117,8739,23378,25233,12254,58,75
2024-06-03 14:48:32,1018.0,Test,77,61,15119,16098,13177,8111,6856,10039,9163,4272,56,76
2024-06-03 14:48:32,1018.0,Test,57,66,3802,20675,9272,10364,4485,6055,3086,3207,41,77
2024-06-03 14:48:32,1018.0,Test,51,66,11416,16123,8276,12999,9724,5299,9213,5736,31,78
2024-06-03 14:48:32,1018.0,Test,40,69,14570,30344,8897,21166,11715,6512,2878,2601,28,79
2024-06-03 14:48:32,1018.0,Test,35,69,13972,39459,23730,7147,6267,10183,11527,2763,27,80
2024-06-03 14:48:32,1018.0,Test,50,63,4876,9914,2038,7711,5188,15385,2123,1290,25,81
2024-06-03 14:48:32,1018.0,Test,64,56,18487,7432,3690,4448,3020,12086,3955,2113,25,82
2024-06-03 14:48:32,1018.0,Test,74,61,8560,15301,22647,16992,4782,15265,3101,2469,25,83
2024-06-03 14:48:32,1018.0,Test,70,56,27188,76166,5013,37510,18691,13344,10786,6890,24,84
2024-06-03 14:48:32,1018.0,Test,54,51,138264,60901,8351,6388,3614,9912,23080,7017,28,85
2024-06-03 14:48:32,1018.0,Test,50,50,12089,28285,6860,8703,7356,18219,30508,3097,32,86
2024-06-03 14:48:32,1018.0,Test,50,43,12658,8898,21153,3394,13999,10000,9528,4206,38,87
2024-06-03 14:48:32,1018.0,Test,67,48,12856,5522,6257,11508,5384,20181,16433,1653,37,88
