Date,Duration,Tag,Attention,Relaxation,Delta,Theta,Low-Alpha,High-Alpha,Low-Beta,High-Beta,Low-Gamma,Mid-Gamma,SyncRate,Time-set
2024-06-14 16:07:16,651.0,Test,35,75,181489,131089,53789,20328,18326,27909,13545,8067,0,1
2024-06-14 16:07:16,651.0,Test,53,70,55730,42649,17409,13782,7123,12866,5795,4059,0,2
2024-06-14 16:07:16,651.0,Test,56,78,45617,81261,21248,18277,21516,14268,7952,1946,0,3
2024-06-14 16:07:16,651.0,Test,61,88,22716,20814,43712,14811,2642,11626,14885,3682,0,4
2024-06-14 16:07:16,651.0,Test,69,83,38999,63730,27507,7816,20124,25954,16744,11742,0,5
2024-06-14 16:07:16,651.0,Test,84,75,23164,13998,5313,5000,1108,21187,7115,7104,0,6
2024-06-14 16:07:16,651.0,Test,100,78,11506,8461,5064,11150,7803,18242,7348,12575,0,7
2024-06-14 16:07:16,651.0,Test,100,61,30166,21273,5471,16278,9839,18992,5952,3717,0,8
2024-06-14 16:07:16,651.0,Test,100,70,4135,12878,11101,4928,1571,9955,6568,1779,0,9
2024-06-14 16:07:16,651.0,Test,100,66,9341,18108,2991,4031,5122,8796,14909,6933,42,10
2024-06-14 16:07:16,651.0,Test,100,61,3809,8683,4743,5719,14056,16371,18515,3047,39,11
2024-06-14 16:07:16,651.0,Test,100,67,10891,3609,6167,11079,3110,16530,10573,3183,31,12
2024-06-14 16:07:16,651.0,Test,100,64,11842,8851,14310,4081,9310,14180,5701,5133,25,13
2024-06-14 16:07:16,651.0,Test,100,63,14732,17389,3856,3090,10697,14240,6267,2726,29,14
2024-06-14 16:07:16,651.0,Test,100,63,6371,8530,4358,1211,2169,6117,3157,1713,39,15
2024-06-14 16:07:16,651.0,Test,100,53,10799,8303,418,5539,5667,5159,6240,1515,0,16
2024-06-14 16:07:16,651.0,Test,100,50,6954,7614,9351,2180,5149,12223,4525,4343,0,17
2024-06-14 16:07:16,651.0,Test,96,66,44818,22695,15207,10220,4618,10894,6369,3801,38,18
2024-06-14 16:07:16,651.0,Test,74,81,65402,29401,25630,17103,7697,3408,5383,852,25,19
2024-06-14 16:07:16,651.0,Test,69,83,7461,10332,3956,3533,6873,5086,3726,1197,23,20
2024-06-14 16:07:16,651.0,Test,66,74,17959,20562,3263,4175,4835,11616,4097,2826,22,21
2024-06-14 16:07:16,651.0,Test,75,61,6767,12639,4463,2409,6649,9464,6399,1949,24,22
2024-06-14 16:07:16,651.0,Test,84,44,10853,54376,14918,1742,10191,8057,5671,1771,27,23
2024-06-14 16:07:16,651.0,Test,84,40,3788,5478,1915,664,4372,2299,683,425,28,24
2024-06-14 16:07:16,651.0,Test,78,51,8978,18742,12969,2998,2571,9033,4254,4104,29,25
2024-06-14 16:07:16,651.0,Test,77,57,3336,12897,5534,5198,5146,9802,3602,3015,30,26
2024-06-14 16:07:16,651.0,Test,78,56,8213,28310,4607,5074,8153,5598,5054,3255,27,27
2024-06-14 16:07:16,651.0,Test,81,74,7308,10788,16581,11850,3796,13085,8044,5764,24,28
2024-06-14 16:07:16,651.0,Test,84,67,2222,18815,9695,2950,5379,12508,6000,7093,30,29
2024-06-14 16:07:16,651.0,Test,81,57,21603,51867,4669,6720,2286,19390,4849,2891,36,30
2024-06-14 16:07:16,651.0,Test,75,70,30237,17431,10895,5871,2961,2587,2435,1137,42,31
2024-06-14 16:07:16,651.0,Test,75,53,5611,17176,2776,2357,4942,6711,7651,2250,40,32
2024-06-14 16:07:16,651.0,Test,78,47,20566,24391,3431,6998,7281,18752,8160,2453,47,33
2024-06-14 16:07:16,651.0,Test,67,50,94206,31150,3896,5082,3409,3916,1739,782,65,34
2024-06-14 16:07:16,651.0,Test,77,34,48921,56529,6401,6763,3790,12030,10977,2524,61,35
2024-06-14 16:07:16,651.0,Test,69,38,6118,34087,2088,11458,8476,7919,11433,2697,64,36
2024-06-14 16:07:16,651.0,Test,64,41,2252,31482,10472,1906,5717,15281,4706,1097,58,37
2024-06-14 16:07:16,651.0,Test,78,53,10498,6434,5264,5503,1974,6744,4318,2134,56,38
2024-06-14 16:07:16,651.0,Test,91,56,743,18823,5335,3768,3806,14358,6912,1775,57,39
2024-06-14 16:07:16,651.0,Test,87,57,10706,37992,10522,5130,11502,6056,2745,2433,56,40
2024-06-14 16:07:16,651.0,Test,93,51,15328,23588,2653,4114,6287,19248,8116,6808,65,41
2024-06-14 16:07:16,651.0,Test,90,54,4275,6772,7718,8137,3415,6643,9911,2246,70,42
2024-06-14 16:07:16,651.0,Test,91,64,7784,10746,5597,2978,5559,6458,5958,4015,75,44
2024-06-14 16:07:16,651.0,Test,81,81,8190,11300,4968,8788,3960,6531,2844,4790,70,45
2024-06-14 16:07:16,651.0,Test,84,69,2510,3791,1137,1440,1642,2457,1392,1013,72,46
2024-06-14 16:07:16,651.0,Test,94,67,3609,5967,5244,1871,4259,6298,22618,2925,71,47
2024-06-14 16:07:16,651.0,Test,93,63,9860,20432,7052,1155,5577,8176,2045,1688,51,48
2024-06-14 16:07:16,651.0,Test,78,56,77044,105509,15471,30722,5943,10457,6806,2365,40,49
2024-06-14 16:07:16,651.0,Test,74,57,20744,8785,1954,2553,1004,3071,1375,832,48,50
2024-06-14 16:07:16,651.0,Test,64,54,16080,22432,2300,8778,3711,8352,3675,2710,54,51
2024-06-14 16:07:16,651.0,Test,63,69,10540,14215,18138,4848,3869,9662,6644,2348,54,52
2024-06-14 16:07:16,651.0,Test,69,74,10424,23821,9650,6942,3954,4800,4652,3704,50,53
2024-06-14 16:07:16,651.0,Test,74,77,7809,9821,7802,2673,5881,5833,3418,5607,46,54
2024-06-14 16:07:16,651.0,Test,75,80,6746,31313,15006,1902,5895,12981,4809,1233,46,55
2024-06-14 16:07:16,651.0,Test,77,78,2732,7709,6088,8295,5031,7016,4236,2272,44,56
2024-06-14 16:07:16,651.0,Test,93,75,5759,9847,5031,3686,3593,10315,4610,2520,50,57
2024-06-14 16:07:16,651.0,Test,100,75,8497,9183,6287,5457,1682,12809,6184,1887,65,58
2024-06-14 16:07:16,651.0,Test,90,87,454848,24179,20116,18074,7154,6343,9303,1982,71,59
2024-06-14 16:07:16,651.0,Test,84,78,8232,30477,8566,8514,1459,10351,3302,2388,76,60
2024-06-14 16:07:16,651.0,Test,75,69,11811,28836,2629,4646,6915,8086,2717,2230,71,61
2024-06-14 16:07:16,651.0,Test,80,70,4006,4290,3749,5594,1683,11889,3096,2975,62,62
2024-06-14 16:07:16,651.0,Test,87,67,12130,6135,2666,4106,1446,2359,1572,858,55,63
2024-06-14 16:07:16,651.0,Test,97,61,24731,38792,12558,3880,1568,35743,8074,2543,46,64
2024-06-14 16:07:16,651.0,Test,100,61,6212,20076,3997,3279,4482,16694,7021,1680,44,65
2024-06-14 16:07:16,651.0,Test,100,60,28657,14052,4368,15906,5674,20782,7821,5153,38,66
2024-06-14 16:07:16,651.0,Test,100,54,22936,20995,8830,7662,4505,7636,7756,6330,31,67
2024-06-14 16:07:16,651.0,Test,97,64,44315,17848,7203,9198,7450,10572,4034,4465,27,68
2024-06-14 16:07:16,651.0,Test,78,69,125893,30413,5598,6088,3375,4947,3933,236,23,69
2024-06-14 16:07:16,651.0,Test,67,53,33481,26158,808,3292,7583,7016,4744,2588,43,70
2024-06-14 16:07:16,651.0,Test,75,47,5370,35779,11280,4795,6983,18393,4978,2212,52,71
2024-06-14 16:07:16,651.0,Test,75,56,4468,5793,20677,1147,5804,7782,8281,3484,56,72
2024-06-14 16:07:16,651.0,Test,80,69,7876,9397,11723,5798,3388,4982,6253,3447,52,73
2024-06-14 16:07:16,651.0,Test,94,75,11115,15244,5026,3910,6443,25672,13341,1743,54,74
2024-06-14 16:07:16,651.0,Test,87,87,98150,20908,8807,16476,3466,9171,6809,3946,54,75
2024-06-14 16:07:16,651.0,Test,93,75,17335,12085,6063,5669,3138,15135,6426,4928,59,76
2024-06-14 16:07:16,651.0,Test,93,57,81981,13570,1339,3407,2273,3346,1461,732,61,77
2024-06-14 16:07:16,651.0,Test,63,78,151229,58583,46133,42025,9234,7819,5797,2381,59,78
2024-06-14 16:07:16,651.0,Test,63,69,13551,21063,3432,5017,1179,6404,6667,2183,64,79
2024-06-14 16:07:16,651.0,Test,51,63,31683,49806,1510,14123,2634,13638,5331,3295,61,80
2024-06-14 16:07:16,651.0,Test,61,67,11162,22055,6180,9966,2613,18317,9825,1266,60,81
2024-06-14 16:07:16,651.0,Test,91,56,4257,7173,3409,4995,1728,15429,9629,2728,50,82
2024-06-14 16:07:16,651.0,Test,100,50,4287,4838,1291,525,785,3709,739,465,39,83
2024-06-14 16:07:16,651.0,Test,100,54,14749,18251,7624,3440,2225,10294,9402,1719,32,84
2024-06-14 16:07:16,651.0,Test,87,47,72697,114513,22627,5143,10650,9581,14546,2385,26,85
2024-06-14 16:07:16,651.0,Test,75,57,15259,7576,8355,10232,2339,7711,3881,2096,25,86
2024-06-14 16:07:16,651.0,Test,81,60,4352,15038,1299,7990,3562,28681,4733,2993,24,87
2024-06-14 16:07:16,651.0,Test,90,60,6012,10730,1421,10265,1686,18590,12971,3609,25,88
2024-06-14 16:07:16,651.0,Test,100,64,2536,17015,5978,5112,5469,11733,6367,2218,38,89
2024-06-14 16:07:16,651.0,Test,100,60,3955,12471,13368,4032,1802,13510,15542,3372,40,90
2024-06-14 16:07:16,651.0,Test,88,69,17379,8918,3444,6503,5186,2591,1276,378,49,91
2024-06-14 16:07:16,651.0,Test,69,81,105662,35817,46366,10151,11026,13382,20899,2527,34,92
2024-06-14 16:07:16,651.0,Test,69,88,69192,20590,6770,16531,5637,17786,5527,5805,29,93
2024-06-14 16:07:16,651.0,Test,64,91,6869,4440,4576,2935,380,3413,1532,1439,32,94
2024-06-14 16:07:16,651.0,Test,57,78,807394,153523,1661,27981,7770,11430,10776,2017,33,95
2024-06-14 16:07:16,651.0,Test,48,56,31021,150629,8949,14471,8145,10344,16462,2870,40,96
