Date,Duration,Tag,Attention,Relaxation,Delta,Theta,Low-Alpha,High-Alpha,Low-Beta,High-Beta,Low-Gamma,Mid-Gamma,SyncRate,Time-set
2024-06-13 11:13:20,778.0,Test,57,38,25715,8219,2476,1152,1356,1476,1520,190,0,1
2024-06-13 11:13:20,778.0,Test,77,48,777948,106164,37423,12597,13470,47573,14210,17493,0,2
2024-06-13 11:13:20,778.0,Test,67,74,92828,65504,16180,5687,11887,3429,3278,3684,0,3
2024-06-13 11:13:20,778.0,Test,66,74,339701,131230,25962,36833,26368,15551,11326,6111,0,4
2024-06-13 11:13:20,778.0,Test,67,60,67946,124917,14740,9019,10508,21108,5949,5259,0,5
2024-06-13 11:13:20,778.0,Test,47,51,65997,108970,10057,8961,1933,4844,2971,1025,0,6
2024-06-13 11:13:20,778.0,Test,38,41,189678,152827,14186,4323,3659,3264,4178,1941,0,7
2024-06-13 11:13:20,778.0,Test,26,14,210281,186570,8148,2732,4277,4850,2514,2171,0,8
2024-06-13 11:13:20,778.0,Test,1,16,89541,199724,30300,2893,3981,1879,4224,616,0,9
2024-06-13 11:13:20,778.0,Test,1,35,51873,114499,37030,30630,1873,2825,3202,1801,72,10
2024-06-13 11:13:20,778.0,Test,1,41,111936,93879,16799,3501,3164,2764,3437,1271,66,11
2024-06-13 11:13:20,778.0,Test,1,57,137254,69704,7754,5651,5066,3606,4824,2035,60,12
2024-06-13 11:13:20,778.0,Test,21,54,9405,8729,410,1000,339,615,374,143,56,13
2024-06-13 11:13:20,778.0,Test,44,61,473976,12004,15936,11909,10205,6045,2114,880,53,14
2024-06-13 11:13:20,778.0,Test,47,78,26707,16593,10042,2528,1452,884,259,294,58,15
2024-06-13 11:13:20,778.0,Test,54,81,282477,79651,6108,12812,5553,11104,5506,6070,66,16
2024-06-13 11:13:20,778.0,Test,51,77,267379,91313,10377,1459,6584,4765,8512,3765,76,17
2024-06-13 11:13:20,778.0,Test,53,43,13739,11898,966,435,1607,2194,1215,687,82,18
2024-06-13 11:13:20,778.0,Test,61,38,72597,62447,27316,3460,4693,5832,2338,1237,72,19
2024-06-13 11:13:20,778.0,Test,69,41,61600,21409,1999,6154,710,7414,4453,2469,62,20
2024-06-13 11:13:20,778.0,Test,83,63,120404,33256,14508,11861,4082,10829,1562,4180,54,21
2024-06-13 11:13:20,778.0,Test,77,83,194067,36479,9472,5897,8044,4507,5112,1866,59,22
2024-06-13 11:13:20,778.0,Test,64,75,73758,95872,14192,13890,10572,2438,1654,1809,53,23
