Date,Duration,Tag,Attention,Relaxation,Delta,Theta,Low-Alpha,High-Alpha,Low-Beta,High-Beta,Low-Gamma,Mid-Gamma,SyncRate,Time-set
2024-06-14 10:19:38,1002.0,Test,30,54,146837,31486,1677,7738,10114,2246,653,700,0,1
2024-06-14 10:19:38,1002.0,Test,34,67,521634,71464,7448,52433,22847,5918,5614,2849,0,2
2024-06-14 10:19:38,1002.0,Test,29,70,57497,8059,10227,2758,2343,2947,1168,803,0,3
2024-06-14 10:19:38,1002.0,Test,34,57,240518,35662,927,4877,6186,5130,1453,969,0,4
2024-06-14 10:19:38,1002.0,Test,21,61,57320,52072,2920,18860,5544,1586,952,427,0,5
2024-06-14 10:19:38,1002.0,Test,20,61,1316183,187979,97160,23669,15089,11212,7966,4777,0,6
2024-06-14 10:19:38,1002.0,Test,4,43,1836927,305666,22290,18704,14254,13672,13699,3681,0,7
2024-06-14 10:19:38,1002.0,Test,1,56,124625,13789,7781,3244,3266,1906,1989,910,0,8
2024-06-14 10:19:38,1002.0,Test,11,57,164604,66893,22034,8811,4633,4825,3995,2823,0,8
2024-06-14 10:19:38,1002.0,Test,24,48,215353,21447,1499,3565,2769,2346,3108,1520,63,10
2024-06-14 10:19:38,1002.0,Test,35,53,62919,43031,2240,8803,1805,4541,2786,577,55,10
2024-06-14 10:19:38,1002.0,Test,51,40,12630,60054,3944,8159,11162,18103,11499,8909,39,11
2024-06-14 10:19:38,1002.0,Test,61,51,14763,21205,14764,43145,12148,8750,15805,4883,38,12
2024-06-14 10:19:38,1002.0,Test,67,69,41512,12057,12221,36707,10112,9984,3495,6505,52,13
2024-06-14 10:19:38,1002.0,Test,83,80,4668,5386,4550,920,589,2627,1094,208,66,14
2024-06-14 10:19:38,1002.0,Test,74,100,154641,4943,27827,33073,3122,7919,5563,4190,76,15
2024-06-14 10:19:38,1002.0,Test,78,100,479648,11108,23427,6474,3331,7184,4751,8133,76,16
2024-06-14 10:19:38,1002.0,Test,60,94,6201,7617,2397,4040,1413,538,1694,597,77,17
2024-06-14 10:19:38,1002.0,Test,44,100,8446,3288,13235,1420,1924,1469,2724,516,76,18
2024-06-14 10:19:38,1002.0,Test,51,84,15432,15956,3105,5944,3505,4646,6367,6875,70,19
2024-06-14 10:19:38,1002.0,Test,48,75,11572,8893,1533,2637,469,1682,970,1197,66,20
2024-06-14 10:19:38,1002.0,Test,63,67,19621,6736,1603,1343,1553,1037,1129,1441,58,21
2024-06-14 10:19:38,1002.0,Test,75,48,64286,27246,4276,4840,10590,7022,5106,5753,47,22
2024-06-14 10:19:38,1002.0,Test,64,47,35547,63161,3758,24827,21108,8192,4027,2778,41,23
2024-06-14 10:19:38,1002.0,Test,63,44,3542,10081,1694,3093,1814,1857,613,557,38,24
2024-06-14 10:19:38,1002.0,Test,70,44,15109,22800,8220,3764,1762,7666,3313,1523,28,25
2024-06-14 10:19:38,1002.0,Test,53,37,126298,232050,5420,16545,16813,12129,14116,9068,26,26
2024-06-14 10:19:38,1002.0,Test,70,35,811196,48374,11539,4886,8534,27544,5901,13109,26,27
2024-06-14 10:19:38,1002.0,Test,70,43,369159,45378,46157,26984,10970,14219,5547,2985,29,29
2024-06-14 10:19:38,1002.0,Test,60,41,1208251,196248,23389,47589,18590,27215,36572,9661,35,30
2024-06-14 10:19:38,1002.0,Test,91,51,679432,17447,692,14864,8324,42829,17571,19703,50,30
2024-06-14 10:19:38,1002.0,Test,78,47,56376,96426,1554,17448,10579,30200,24553,4800,66,31
2024-06-14 10:19:38,1002.0,Test,84,38,440947,25520,8968,19102,24331,20629,17129,9698,61,32
2024-06-14 10:19:38,1002.0,Test,91,35,251975,94573,11849,13448,17738,32394,33630,17597,57,33
2024-06-14 10:19:38,1002.0,Test,63,44,687459,159523,111258,33085,7579,25994,49898,32630,55,34
2024-06-14 10:19:38,1002.0,Test,61,54,1157396,164035,94788,12604,29226,55612,31710,51657,57,35
2024-06-14 10:19:38,1002.0,Test,67,51,671,2855,2852,2112,8714,5726,14769,6808,48,36
2024-06-14 10:19:38,1002.0,Test,56,54,1455896,481457,100649,32101,38226,58001,50335,28940,38,37
2024-06-14 10:19:38,1002.0,Test,54,47,1936494,249794,48967,44907,51116,23349,16420,22652,42,38
2024-06-14 10:19:38,1002.0,Test,60,35,1045111,119169,6599,12173,7535,44265,26327,24126,31,39
2024-06-14 10:19:38,1002.0,Test,50,35,170184,11570,3232,2362,2811,4980,2288,688,36,40
2024-06-14 10:19:38,1002.0,Test,57,34,207961,224294,39021,21683,11828,63128,19294,5149,40,41
2024-06-14 10:19:38,1002.0,Test,77,29,144332,42439,7457,13320,25036,24991,26644,5931,36,42
2024-06-14 10:19:38,1002.0,Test,87,26,3996,6466,852,788,7305,6935,7011,1367,34,43
2024-06-14 10:19:38,1002.0,Test,80,26,434167,191335,48381,6765,1285,33118,16456,11543,28,44
2024-06-14 10:19:38,1002.0,Test,87,26,108620,20202,6219,1362,7508,11728,8577,2085,25,45
2024-06-14 10:19:38,1002.0,Test,70,21,66607,51534,1769,5488,3005,5834,7163,864,25,46
2024-06-14 10:19:38,1002.0,Test,75,30,18760,2212,125,4362,7384,7894,8887,4905,26,47
2024-06-14 10:19:38,1002.0,Test,78,35,5116,47981,13164,14949,4440,13781,22843,4661,31,48
2024-06-14 10:19:38,1002.0,Test,78,41,38848,35530,17586,12655,10976,32195,18946,5153,43,49
2024-06-14 10:19:38,1002.0,Test,91,51,60958,6380,1177,4753,2888,4433,8765,995,62,50
2024-06-14 10:19:38,1002.0,Test,83,47,27200,68315,9606,9407,23256,38498,18024,8170,67,51
2024-06-14 10:19:38,1002.0,Test,74,40,308984,58819,9542,3544,4733,5229,1956,1489,60,52
2024-06-14 10:19:38,1002.0,Test,83,37,88108,6950,3718,3235,1789,18246,10075,4082,68,53
2024-06-14 10:19:38,1002.0,Test,80,34,583068,98036,22875,24163,25001,42589,37248,29353,66,54
2024-06-14 10:19:38,1002.0,Test,61,43,1402434,139674,54275,46251,24357,21339,25602,11724,70,55
2024-06-14 10:19:38,1002.0,Test,64,48,256721,71192,11880,11266,8266,8733,5550,3580,57,56
2024-06-14 10:19:38,1002.0,Test,35,50,46494,8550,3205,348,1350,824,993,351,43,57
