Date,Duration,Tag,Attention,Relaxation,Delta,Theta,Low-Alpha,High-Alpha,Low-Beta,High-Beta,Low-Gamma,Mid-Gamma,SyncRate,Time-set
2024-06-14 10:35:20,645.0,Test,27,38,318739,49159,20242,22206,33698,44429,17880,21809,0,1
2024-06-14 10:35:20,645.0,Test,34,34,819084,96825,46876,13414,22212,14895,8155,3700,0,2
2024-06-14 10:35:20,645.0,Test,57,48,61878,20696,7769,15174,7143,12407,5378,2545,0,3
2024-06-14 10:35:20,645.0,Test,69,41,36509,95114,9906,17874,7315,16210,2889,3231,0,4
2024-06-14 10:35:20,645.0,Test,53,47,30630,60252,17735,22181,12720,13363,5805,1470,0,5
2024-06-14 10:35:20,645.0,Test,50,34,17725,13376,2762,537,4503,1372,1760,666,0,6
2024-06-14 10:35:20,645.0,Test,48,16,24181,35929,2548,6428,4812,11500,4380,2929,0,7
2024-06-14 10:35:20,645.0,Test,54,38,9641,4387,6291,1589,749,2174,976,1043,0,8
2024-06-14 10:35:20,645.0,Test,41,43,325093,69510,21099,37082,6746,7100,6134,3311,0,9
2024-06-14 10:35:20,645.0,Test,61,66,1183741,25731,16853,44629,15471,28345,35430,6232,67,10
2024-06-14 10:35:20,645.0,Test,51,87,224920,82631,74626,14984,9512,21048,15712,9126,64,11
2024-06-14 10:35:20,645.0,Test,29,64,52087,125844,25933,2764,12541,6445,6382,2839,45,12
2024-06-14 10:35:20,645.0,Test,27,44,88519,192171,2279,29993,9031,9802,8670,2571,45,13
2024-06-14 10:35:20,645.0,Test,27,44,49484,7515,4867,10126,1424,7333,4030,2494,49,14
2024-06-14 10:35:20,645.0,Test,16,16,6773,20034,251,1431,1217,1059,616,487,59,15
2024-06-14 10:35:20,645.0,Test,26,26,120770,335001,125997,81341,96598,47262,9418,6527,64,16
2024-06-14 10:35:20,645.0,Test,43,35,58036,44353,3074,13960,7574,8737,3756,2725,64,17
2024-06-14 10:35:20,645.0,Test,30,35,16801,9626,13462,1382,2059,3601,7814,3003,70,18
2024-06-14 10:35:20,645.0,Test,29,56,26998,73737,13957,25888,5448,4964,3302,844,61,19
2024-06-14 10:35:20,645.0,Test,48,56,28043,18161,10515,5765,9703,12033,1655,2794,59,20
2024-06-14 10:35:20,645.0,Test,48,69,565273,63832,39940,30327,2989,20671,7437,3451,65,21
2024-06-14 10:35:20,645.0,Test,56,69,19565,3871,9711,8883,10083,6194,2060,1500,75,22
2024-06-14 10:35:20,645.0,Test,81,78,15084,11909,10182,12786,4466,10548,2446,685,77,23
2024-06-14 10:35:20,645.0,Test,70,75,7613,35874,2316,12527,5677,7134,1171,1304,86,24
2024-06-14 10:35:20,645.0,Test,77,57,14714,29898,1661,8544,3923,8814,784,1808,82,25
2024-06-14 10:35:20,645.0,Test,56,30,65559,18391,1079,1629,1225,1461,741,576,72,26
