Date,Duration,Tag,Attention,Relaxation,Delta,Theta,Low-Alpha,High-Alpha,Low-Beta,High-Beta,Low-Gamma,Mid-Gamma,SyncRate,Time-set
2024-05-31 15:30:25,1024.0,Test,23,61,37867,11718,11483,4190,2630,695,577,570,0,1
2024-05-31 15:30:25,1024.0,Test,17,70,122635,62332,14967,12752,4798,4542,1448,1531,0,1
2024-05-31 15:30:25,1024.0,Test,13,66,30067,115618,9699,12760,5799,3358,6970,1886,0,2
2024-05-31 15:30:25,1024.0,Test,23,64,23776,22559,1945,5770,1266,2088,1260,588,0,3
2024-05-31 15:30:25,1024.0,Test,23,57,43441,52644,13128,18806,3621,2102,848,1318,0,4
2024-05-31 15:30:25,1024.0,Test,20,47,3985,28096,1392,1975,1168,1049,328,438,0,5
2024-05-31 15:30:25,1024.0,Test,26,51,36759,48369,6362,8913,7221,3990,890,653,0,6
2024-05-31 15:30:25,1024.0,Test,16,63,47604,18728,14099,9909,345,907,691,882,0,8
2024-05-31 15:30:25,1024.0,Test,13,48,110532,69909,1394,5778,2439,1295,1355,617,0,9
2024-05-31 15:30:25,1024.0,Test,13,66,6351,3842,1876,2047,843,238,249,139,37,10
2024-05-31 15:30:25,1024.0,Test,20,67,11504,8226,1843,2343,2908,2001,1168,1483,38,11
2024-05-31 15:30:25,1024.0,Test,24,53,21134,43673,5716,3500,3468,1972,989,3402,41,12
2024-05-31 15:30:25,1024.0,Test,30,69,72253,32401,9387,12054,1668,2097,757,761,50,12
2024-05-31 15:30:25,1024.0,Test,35,38,359951,172627,2197,1837,2635,6172,1061,751,39,13
2024-05-31 15:30:25,1024.0,Test,21,41,33155,19761,10087,1916,3652,1113,263,220,44,15
2024-05-31 15:30:25,1024.0,Test,16,50,205609,55776,28275,4229,3747,1703,838,2035,41,15
2024-05-31 15:30:25,1024.0,Test,7,41,81765,46220,6091,2150,1043,701,887,1024,48,16
2024-05-31 15:30:25,1024.0,Test,1,50,33626,147055,3551,5817,1799,3426,690,281,55,17
2024-05-31 15:30:25,1024.0,Test,1,48,410117,93736,15384,27330,13075,2478,474,1985,49,18
2024-05-31 15:30:25,1024.0,Test,1,37,71064,82927,6108,7586,3256,1869,1260,1106,52,19
2024-05-31 15:30:25,1024.0,Test,4,48,36562,15701,13170,925,1917,1112,836,878,53,20
2024-05-31 15:30:25,1024.0,Test,23,67,165977,35396,7127,23061,1645,14818,4079,1613,48,21
2024-05-31 15:30:25,1024.0,Test,43,69,153860,21875,9979,6590,7581,7927,891,1316,62,22
2024-05-31 15:30:25,1024.0,Test,54,77,4678,9466,1456,2446,1880,1178,181,164,77,23
2024-05-31 15:30:25,1024.0,Test,57,81,56181,15187,20077,8058,6683,2032,627,439,80,24
2024-05-31 15:30:25,1024.0,Test,41,81,46379,30337,19177,2181,1747,1504,1680,1426,85,25
2024-05-31 15:30:25,1024.0,Test,30,81,68698,27488,15282,1674,2756,2652,1285,1050,84,26
2024-05-31 15:30:25,1024.0,Test,35,84,16759,6929,3688,970,1377,1368,1201,880,85,27
2024-05-31 15:30:25,1024.0,Test,43,83,14615,18111,20622,15871,11800,7533,3059,2528,88,28
2024-05-31 15:30:25,1024.0,Test,44,84,17803,20777,6520,8898,1146,1293,730,972,86,29
2024-05-31 15:30:25,1024.0,Test,48,93,30686,9365,14362,2862,1192,2719,1260,489,71,30
2024-05-31 15:30:25,1024.0,Test,37,96,19926,28737,9840,10674,2206,1290,457,520,49,31
2024-05-31 15:30:25,1024.0,Test,29,83,110037,40101,1408,6422,855,2557,957,1865,44,32
2024-05-31 15:30:25,1024.0,Test,26,77,132589,72240,14615,14949,5447,2493,3528,1476,53,33
2024-05-31 15:30:25,1024.0,Test,21,74,41495,10197,4510,7572,2028,1228,971,528,68,34
2024-05-31 15:30:25,1024.0,Test,38,66,129452,16957,5023,5183,6859,5646,2362,1626,65,35
2024-05-31 15:30:25,1024.0,Test,38,61,61374,44850,4347,1132,2818,2931,810,965,58,36
2024-05-31 15:30:25,1024.0,Test,50,63,484831,49949,14795,18353,12165,8245,2959,2759,48,37
2024-05-31 15:30:25,1024.0,Test,47,54,221005,44676,13034,3049,5355,2501,1361,1596,40,38
2024-05-31 15:30:25,1024.0,Test,34,54,25612,37788,7243,6115,2808,1821,1374,1576,36,39
2024-05-31 15:30:25,1024.0,Test,38,64,137063,65751,8556,21263,8829,8698,7947,9424,29,40
2024-05-31 15:30:25,1024.0,Test,43,53,71580,102932,8006,9088,20204,23866,11596,5405,25,41
2024-05-31 15:30:25,1024.0,Test,35,44,609889,320504,22284,25516,22435,5447,6555,6217,33,42
2024-05-31 15:30:25,1024.0,Test,35,40,12261,24566,3255,1065,1346,1150,1386,515,44,43
2024-05-31 15:30:25,1024.0,Test,35,29,78024,44158,2223,4574,4061,5098,3056,2441,60,44
2024-05-31 15:30:25,1024.0,Test,24,43,82962,12658,7152,2694,1612,1344,3020,1026,62,45
2024-05-31 15:30:25,1024.0,Test,43,63,1292836,64048,41260,71088,9216,24638,33259,3914,59,46
