Date,Duration,Tag,Attention,Relaxation,Delta,Theta,Low-Alpha,High-Alpha,Low-Beta,High-Beta,Low-Gamma,Mid-Gamma,SyncRate,Time-set
2024-06-13 13:28:58,1277.0,Test,70,48,14486,18465,8652,17693,3483,9299,6874,4160,0,1
2024-06-13 13:28:58,1277.0,Test,81,47,6343,3560,973,1361,2329,3367,1741,723,0,2
2024-06-13 13:28:58,1277.0,Test,81,48,173164,19069,9078,3290,7174,4078,1303,520,0,3
2024-06-13 13:28:58,1277.0,Test,77,50,130438,147468,1325,32846,11777,10374,13180,2788,0,4
2024-06-13 13:28:58,1277.0,Test,74,43,6494,7136,3988,1183,3159,2028,1252,527,0,5
2024-06-13 13:28:58,1277.0,Test,64,51,29083,17556,11342,10308,11759,10199,6169,4188,0,6
2024-06-13 13:28:58,1277.0,Test,63,57,27321,24996,42537,15700,28067,8494,5201,2613,0,7
2024-06-13 13:28:58,1277.0,Test,63,64,94673,84564,18366,14136,6226,7008,6790,1893,0,8
2024-06-13 13:28:58,1277.0,Test,51,53,17049,20758,2743,1017,3607,1407,1995,779,0,9
2024-06-13 13:28:58,1277.0,Test,53,47,69908,49881,14646,6462,14771,21799,6720,1026,38,10
2024-06-13 13:28:58,1277.0,Test,53,37,248839,105035,48841,12500,39016,17315,6699,1055,44,11
2024-06-13 13:28:58,1277.0,Test,60,38,268276,83278,24706,17751,6200,13344,9431,2309,46,12
2024-06-13 13:28:58,1277.0,Test,63,50,383769,16066,2463,6074,2511,1807,1508,602,47,13
2024-06-13 13:28:58,1277.0,Test,54,54,288538,69194,20480,12438,12404,13554,7004,3018,47,14
2024-06-13 13:28:58,1277.0,Test,56,69,10316,2823,5545,3212,1290,1458,524,668,51,15
2024-06-13 13:28:58,1277.0,Test,50,75,95500,69091,43646,4932,6303,6421,2697,1840,41,16
2024-06-13 13:28:58,1277.0,Test,67,78,79871,8751,17445,4496,7430,14263,10376,2631,51,17
2024-06-13 13:28:58,1277.0,Test,57,75,4394,30885,5352,3998,1933,2241,1202,741,59,18
2024-06-13 13:28:58,1277.0,Test,63,57,37219,39549,16609,3753,8269,13083,6430,1748,59,19
2024-06-13 13:28:58,1277.0,Test,77,63,20347,12204,8567,16194,6252,7645,4127,2582,61,20
2024-06-13 13:28:58,1277.0,Test,69,48,42177,34062,5303,3622,5910,9672,3834,4705,50,21
2024-06-13 13:28:58,1277.0,Test,80,60,3764,3742,3921,1748,1635,1432,716,407,46,22
2024-06-13 13:28:58,1277.0,Test,78,67,8474,6638,5526,4360,4125,3321,3118,1568,49,23
2024-06-13 13:28:58,1277.0,Test,69,54,3406,17334,2361,3343,2976,1941,2208,2686,38,24
2024-06-13 13:28:58,1277.0,Test,54,54,29607,62347,9930,4319,2955,3735,3012,2018,44,25
2024-06-13 13:28:58,1277.0,Test,48,41,22221,44601,2001,8431,2747,4024,2600,1846,54,26
2024-06-13 13:28:58,1277.0,Test,38,41,13330,22747,20447,4942,5440,3546,1670,3906,62,27
2024-06-13 13:28:58,1277.0,Test,43,48,28086,28902,11358,7190,3096,6650,2864,1646,73,28
2024-06-13 13:28:58,1277.0,Test,53,54,37001,54617,20203,6215,5094,9723,3145,2415,67,29
2024-06-13 13:28:58,1277.0,Test,74,61,9780,3060,5098,1812,8509,5588,1774,1311,74,30
2024-06-13 13:28:58,1277.0,Test,80,57,5415,7390,5314,5467,6688,2790,1942,1603,69,31
2024-06-13 13:28:58,1277.0,Test,74,53,1272,10132,2346,1320,1706,909,414,348,65,32
2024-06-13 13:28:58,1277.0,Test,75,47,209111,36093,7343,2427,8254,6730,1245,2596,66,33
2024-06-13 13:28:58,1277.0,Test,69,41,17231,23567,2782,5487,2833,11242,2943,1355,64,34
2024-06-13 13:28:58,1277.0,Test,69,41,5254,6770,5782,482,1297,1793,1777,283,71,35
2024-06-13 13:28:58,1277.0,Test,64,50,46884,65652,39628,6865,8703,4899,3890,855,72,36
2024-06-13 13:28:58,1277.0,Test,56,60,22066,42438,15284,12789,7907,4986,1451,1111,58,37
2024-06-13 13:28:58,1277.0,Test,38,67,6100,25816,5073,12550,3874,2273,3131,521,38,38
2024-06-13 13:28:58,1277.0,Test,30,47,25738,64422,1257,4866,2844,5301,1964,1975,38,39
2024-06-13 13:28:58,1277.0,Test,29,27,23138,91003,5451,3809,4385,3811,3166,1645,49,40
2024-06-13 13:28:58,1277.0,Test,34,30,20835,17541,13886,9576,7169,4031,865,991,51,41
2024-06-13 13:28:58,1277.0,Test,35,35,16721,45518,24758,10281,6872,4424,2927,1410,51,42
2024-06-13 13:28:58,1277.0,Test,29,43,25299,45608,4859,4510,1301,2640,2628,1245,52,43
2024-06-13 13:28:58,1277.0,Test,40,61,17259,17655,9373,7250,9841,3329,2520,1434,53,44
2024-06-13 13:28:58,1277.0,Test,41,53,8679,23874,5124,5962,1996,3734,4518,1603,56,45
2024-06-13 13:28:58,1277.0,Test,40,44,29988,63127,10712,12766,10096,4361,2961,786,57,46
2024-06-13 13:28:58,1277.0,Test,34,41,5846,125623,16090,5227,3846,3329,1253,654,59,47
2024-06-13 13:28:58,1277.0,Test,35,48,14526,26269,30483,4164,6809,7483,3661,1539,70,48
2024-06-13 13:28:58,1277.0,Test,38,50,26679,17119,3490,4992,1644,3672,2259,1050,81,49
2024-06-13 13:28:58,1277.0,Test,47,56,62460,12369,5239,5060,2617,2779,1119,223,76,50
2024-06-13 13:28:58,1277.0,Test,50,66,1312,13397,1363,4095,1010,576,528,421,80,51
2024-06-13 13:28:58,1277.0,Test,43,57,8602,49405,21747,4687,5159,4649,3710,1098,83,52
2024-06-13 13:28:58,1277.0,Test,29,57,5449,74211,19306,13135,3061,4590,2576,550,62,53
2024-06-13 13:28:58,1277.0,Test,16,57,13848,23495,4071,14435,6185,1335,4578,1343,54,54
2024-06-13 13:28:58,1277.0,Test,21,64,7217,29276,15490,7629,3203,2388,938,742,51,55
2024-06-13 13:28:58,1277.0,Test,27,57,25680,20262,2628,4632,6980,3583,2200,2778,55,56
2024-06-13 13:28:58,1277.0,Test,35,48,22852,58818,9226,3026,6691,5942,2252,1752,53,57
2024-06-13 13:28:58,1277.0,Test,34,37,26500,24513,5374,766,1946,794,584,573,50,58
2024-06-13 13:28:58,1277.0,Test,38,27,64795,51153,10019,10447,8264,6108,8521,2367,43,59
2024-06-13 13:28:58,1277.0,Test,41,24,12773,42173,2032,8937,7050,9205,5184,2596,33,60
2024-06-13 13:28:58,1277.0,Test,48,26,55416,23971,2957,2808,3042,4901,5836,1350,22,61
2024-06-13 13:28:58,1277.0,Test,64,29,5923,31319,7251,5775,3431,6266,3746,1470,23,62
2024-06-13 13:28:58,1277.0,Test,63,29,6860,30556,3665,6222,3302,2425,2694,1944,26,63
2024-06-13 13:28:58,1277.0,Test,67,38,29760,11883,3880,5231,3571,6480,3516,754,29,64
2024-06-13 13:28:58,1277.0,Test,74,41,18063,22818,5387,5609,9474,9258,1977,454,39,65
2024-06-13 13:28:58,1277.0,Test,67,47,19000,28334,8934,5514,4608,3630,2767,1334,54,66
2024-06-13 13:28:58,1277.0,Test,77,51,7406,30694,13107,4145,3170,6000,2809,1292,74,67
2024-06-13 13:28:58,1277.0,Test,70,44,2636,21446,2784,5214,7961,5825,2810,2216,83,68
2024-06-13 13:28:58,1277.0,Test,54,50,9624,58402,11850,16293,6209,4849,4245,866,79,69
2024-06-13 13:28:58,1277.0,Test,57,41,20855,29772,5868,1843,7387,5102,1993,1742,74,70
2024-06-13 13:28:58,1277.0,Test,40,48,38379,49103,15119,3768,8940,5744,3063,2533,52,72
2024-06-13 13:28:58,1277.0,Test,47,53,79762,50175,23388,13818,6401,8548,2029,1246,47,73
2024-06-13 13:28:58,1277.0,Test,38,61,6602,46609,7574,18631,6227,4573,4861,2116,34,74
2024-06-13 13:28:58,1277.0,Test,38,56,11427,48974,3346,21793,2478,3533,3556,1291,30,75
2024-06-13 13:28:58,1277.0,Test,43,61,4578,48925,15902,12893,3803,8780,2522,743,30,76
2024-06-13 13:28:58,1277.0,Test,54,60,5754,8618,7769,2618,3564,7671,1562,1245,29,77
2024-06-13 13:28:58,1277.0,Test,51,48,53943,80164,8948,3284,2511,3922,1249,1195,29,78
2024-06-13 13:28:58,1277.0,Test,63,47,9131,51600,22927,5087,4517,10377,2768,895,32,79
2024-06-13 13:28:58,1277.0,Test,67,54,14633,18855,25547,3568,4837,8694,3274,1546,41,80
2024-06-13 13:28:58,1277.0,Test,51,48,14571,37430,14379,1348,10024,3663,1852,1024,46,81
2024-06-13 13:28:58,1277.0,Test,43,47,124211,167028,15875,6615,17016,3718,3888,925,40,82
2024-06-13 13:28:58,1277.0,Test,40,47,96527,14091,5631,1259,1207,1849,1150,621,41,83
2024-06-13 13:28:58,1277.0,Test,23,43,30731,43463,21571,10248,4645,2662,1963,1456,57,84
2024-06-13 13:28:58,1277.0,Test,21,47,74692,13403,4713,3440,2228,1448,1332,626,56,85
2024-06-13 13:28:58,1277.0,Test,34,48,5193,17657,1163,1497,1061,1291,488,169,58,86
2024-06-13 13:28:58,1277.0,Test,27,60,1254,36746,42671,4185,3225,3866,3088,2467,51,87
2024-06-13 13:28:58,1277.0,Test,34,43,8104,17887,2071,1083,1702,1311,1132,830,50,88
2024-06-13 13:28:58,1277.0,Test,34,34,27865,74193,5712,8842,13781,5758,3224,1030,47,89
2024-06-13 13:28:58,1277.0,Test,35,34,23100,58094,2556,7606,1748,5630,1624,972,41,90
2024-06-13 13:28:58,1277.0,Test,37,24,22377,63685,26123,10857,5079,6296,5909,1107,35,91
2024-06-13 13:28:58,1277.0,Test,29,23,25036,127788,9812,7958,3585,4511,1342,1554,35,91
2024-06-13 13:28:58,1277.0,Test,24,35,43492,66246,24122,9050,4859,3737,2479,597,41,93
2024-06-13 13:28:58,1277.0,Test,11,41,33829,131565,28846,10650,8523,3641,3606,898,42,94
2024-06-13 13:28:58,1277.0,Test,1,17,10273,39733,1233,1672,1421,726,664,414,53,94
2024-06-13 13:28:58,1277.0,Test,11,30,4716,39105,8834,8821,2267,6416,2669,1491,50,95
2024-06-13 13:28:58,1277.0,Test,21,27,10783,45794,11929,7056,5004,6097,3853,1205,51,96
2024-06-13 13:28:58,1277.0,Test,34,29,21540,49444,12212,6641,8344,5839,1883,2059,49,97
2024-06-13 13:28:58,1277.0,Test,47,44,12698,56058,16052,3218,10280,4188,2534,2440,57,99
2024-06-13 13:28:58,1277.0,Test,34,35,3470,76876,7688,5400,7597,3057,1346,2496,61,100
2024-06-13 13:28:58,1277.0,Test,35,35,67976,46180,6823,12449,3255,6204,3535,2869,68,101
2024-06-13 13:28:58,1277.0,Test,30,35,31948,81195,23587,9049,11978,6225,2277,1654,67,102
2024-06-13 13:28:58,1277.0,Test,21,24,56235,193349,13026,7918,6458,4389,3837,1592,67,103
2024-06-13 13:28:58,1277.0,Test,26,27,5895,69580,12107,3716,3246,5122,2591,2071,86,104
2024-06-13 13:28:58,1277.0,Test,26,27,6092,52024,18085,4064,5397,6945,4012,1368,78,105
2024-06-13 13:28:58,1277.0,Test,16,30,7689,71264,22645,12928,4568,2626,3554,1481,79,106
2024-06-13 13:28:58,1277.0,Test,30,37,9466,31847,3810,2450,3412,3419,1559,3356,73,107
2024-06-13 13:28:58,1277.0,Test,24,40,14122,124090,30428,14848,3567,5026,3857,1438,59,108
2024-06-13 13:28:58,1277.0,Test,21,50,29424,34517,25428,6712,2881,5158,6162,1805,47,109
2024-06-13 13:28:58,1277.0,Test,27,44,100627,102812,13194,20881,6189,5878,4516,2027,47,110
2024-06-13 13:28:58,1277.0,Test,26,48,10170,70076,8775,7570,4367,7086,1169,3259,51,111
2024-06-13 13:28:58,1277.0,Test,41,61,7684,2223,3195,2660,1867,1048,784,362,74,112
2024-06-13 13:28:58,1277.0,Test,38,48,26063,86267,19516,2987,7413,5430,3332,1541,72,112
2024-06-13 13:28:58,1277.0,Test,41,44,22837,92581,9643,15270,5354,7570,1973,2082,72,113
2024-06-13 13:28:58,1277.0,Test,44,51,29251,37496,11786,5803,8328,5221,3325,1696,78,114
2024-06-13 13:28:58,1277.0,Test,29,37,5073,26703,2907,4850,1130,1192,670,295,67,115
2024-06-13 13:28:58,1277.0,Test,26,34,34078,117752,6052,14304,1916,4249,2183,3117,70,116
2024-06-13 13:28:58,1277.0,Test,27,37,19652,45640,13324,6285,3516,5240,7072,1051,67,117
2024-06-13 13:28:58,1277.0,Test,26,27,9423,97834,3060,13738,3211,8652,2260,1462,73,118
2024-06-13 13:28:58,1277.0,Test,37,27,31022,65717,14211,10170,2927,7352,3809,1181,69,119
2024-06-13 13:28:58,1277.0,Test,37,30,8802,86164,8089,11129,10336,3534,3395,1523,58,120
2024-06-13 13:28:58,1277.0,Test,43,23,39228,30124,4400,4006,16341,5473,2843,2003,52,121
2024-06-13 13:28:58,1277.0,Test,37,34,27665,97264,19547,25384,8550,4647,2312,2504,50,122
2024-06-13 13:28:58,1277.0,Test,38,38,31314,62949,23662,14803,10398,9696,4640,963,43,123
2024-06-13 13:28:58,1277.0,Test,29,30,105829,63179,598,6976,1454,1163,544,648,37,124
