Date,Duration,Tag,Attention,Relaxation,Delta,Theta,Low-Alpha,High-Alpha,Low-Beta,High-Beta,Low-Gamma,Mid-Gamma,SyncRate,Time-set
2024-05-31 14:24:46,1121.0,Test,69,34,20035,33267,1756,1028,3933,8787,5684,6271,0,1
2024-05-31 14:24:46,1121.0,Test,66,43,10879,19821,13763,22306,9291,5900,3300,1488,0,2
2024-05-31 14:24:46,1121.0,Test,61,48,1786,20995,3971,4225,2370,934,586,148,0,3
2024-05-31 14:24:46,1121.0,Test,57,44,41134,52321,6541,3736,3474,5879,2221,988,0,4
2024-05-31 14:24:46,1121.0,Test,47,61,16681,46252,15780,6950,10397,6439,1541,1051,0,5
2024-05-31 14:24:46,1121.0,Test,29,54,1033098,220235,124721,17988,22320,7166,5007,2922,0,6
2024-05-31 14:24:46,1121.0,Test,41,66,621915,35233,33497,30672,9779,9733,924,1697,0,7
2024-05-31 14:24:46,1121.0,Test,30,61,89042,94904,5346,7710,20187,3761,1340,1179,0,8
2024-05-31 14:24:46,1121.0,Test,16,69,21575,37427,26875,7578,5616,1647,4918,464,0,9
2024-05-31 14:24:46,1121.0,Test,37,66,18559,40515,12518,6105,3990,7524,2366,1717,26,10
2024-05-31 14:24:46,1121.0,Test,34,53,113816,58564,11021,8208,5259,6064,9388,2217,27,11
2024-05-31 14:24:46,1121.0,Test,40,78,2192,7762,21009,3718,5553,2194,2961,1157,33,11
2024-05-31 14:24:46,1121.0,Test,51,63,76386,45956,2412,8154,8405,3483,1766,1644,40,12
2024-05-31 14:24:46,1121.0,Test,50,64,11665,13618,5880,3121,2502,2725,2934,938,49,13
2024-05-31 14:24:46,1121.0,Test,51,67,23569,36903,10596,4806,3196,4050,846,2293,60,14
2024-05-31 14:24:46,1121.0,Test,60,54,34681,18200,4701,4386,2192,4140,2714,1365,41,15
2024-05-31 14:24:46,1121.0,Test,56,66,15014,19339,10813,2769,2162,1606,1258,1996,48,16
2024-05-31 14:24:46,1121.0,Test,54,67,21291,16729,4343,7384,4174,3043,877,1089,47,17
2024-05-31 14:24:46,1121.0,Test,66,75,41594,7877,9006,5270,2378,5229,2957,2710,58,18
