Date,Duration,Tag,Attention,Relaxation,Delta,Theta,Low-Alpha,High-Alpha,Low-Beta,High-Beta,Low-Gamma,Mid-Gamma,SyncRate,Time-set
2024-06-20 12:19:31,524.0,Test,53,60,2158803,165407,127124,61881,56132,15349,12260,12542,0,0
2024-06-20 12:19:31,524.0,Test,69,60,118908,56537,11621,6608,8872,19325,9643,4237,0,1
2024-06-20 12:19:31,524.0,Test,43,60,450606,205871,57418,17489,20012,9709,8270,4522,0,2
2024-06-20 12:19:31,524.0,Test,67,48,242864,6673,3616,816,2411,5297,2294,913,0,3
2024-06-20 12:19:31,524.0,Test,91,24,1023131,71398,6830,7952,9982,28039,33485,10554,0,4
2024-06-20 12:19:31,524.0,Test,80,27,142525,25698,7219,2398,5562,4747,1196,1604,0,5
2024-06-20 12:19:31,524.0,Test,74,13,1021952,197143,19318,6256,27816,4416,5804,2009,0,6
2024-06-20 12:19:31,524.0,Test,56,17,253008,95800,41014,15220,9864,19192,14241,11090,0,7
2024-06-20 12:19:31,524.0,Test,60,41,8224,1863,115,3086,686,1929,1358,572,0,8
2024-06-20 12:19:31,524.0,Test,34,38,323805,229226,25027,31182,11006,4540,3028,2717,34,9
2024-06-20 12:19:31,524.0,Test,50,69,21121,26937,27769,6923,2418,5095,894,426,31,10
2024-06-20 12:19:31,524.0,Test,38,64,250405,95003,26460,4948,10902,6664,2940,3116,30,11
2024-06-20 12:19:31,524.0,Test,35,43,73035,9928,849,1539,1554,3830,2133,919,30,12
2024-06-20 12:19:31,524.0,Test,60,63,102049,12944,14500,3655,1584,4400,969,304,30,13
2024-06-20 12:19:31,524.0,Test,63,48,50337,45759,12115,8776,5905,6816,2518,3197,33,14
2024-06-20 12:19:31,524.0,Test,69,57,26125,23336,12146,4772,2946,3763,1973,1820,43,15
2024-06-20 12:19:31,524.0,Test,54,61,27551,57882,9097,6754,16238,6579,1871,1260,57,16
2024-06-20 12:19:31,524.0,Test,41,56,55122,27232,2893,17616,5517,2109,1466,719,57,17
2024-06-20 12:19:31,524.0,Test,44,51,14015,29866,4444,5524,2742,4668,2902,965,70,18
2024-06-20 12:19:31,524.0,Test,51,64,13803,6064,11486,10735,1682,3981,1623,1382,50,19
2024-06-20 12:19:31,524.0,Test,30,51,25328,31768,998,730,1162,581,399,317,57,20
2024-06-20 12:19:31,524.0,Test,38,57,40757,5030,5154,4125,3224,1087,776,1313,71,21
2024-06-20 12:19:31,524.0,Test,27,67,13459,9537,3533,1724,721,882,309,156,40,22
2024-06-20 12:19:31,524.0,Test,24,53,79524,13287,7069,1586,1634,2318,1980,1322,47,22
2024-06-20 12:19:31,524.0,Test,48,83,60958,11109,7739,3622,3310,2344,1785,905,50,23
2024-06-20 12:19:31,524.0,Test,37,75,262428,81265,24766,24152,5454,4084,1340,1867,54,24
2024-06-20 12:19:31,524.0,Test,30,64,48182,39121,7734,1272,7507,1668,2611,1735,60,25
2024-06-20 12:19:31,524.0,Test,24,61,145556,69549,15467,16791,7600,6605,3480,1176,61,26
2024-06-20 12:19:31,524.0,Test,8,51,16681,48226,10449,4365,3827,1716,414,362,64,28
2024-06-20 12:19:31,524.0,Test,26,34,81780,23694,920,1929,653,1207,826,465,69,30
2024-06-20 12:19:31,524.0,Test,30,40,7750,3428,2358,1283,1989,694,171,159,64,31
2024-06-20 12:19:31,524.0,Test,38,34,157437,51386,5642,4192,3656,2711,3482,2100,59,32
2024-06-20 12:19:31,524.0,Test,40,40,32031,5467,1122,1641,2131,1189,339,184,60,33
2024-06-20 12:19:31,524.0,Test,44,53,15381,7256,705,2528,358,792,235,281,48,34
2024-06-20 12:19:31,524.0,Test,51,56,38489,5549,2158,12778,7275,3387,1792,1621,44,35
2024-06-20 12:19:31,524.0,Test,61,69,46866,11929,2627,5610,1599,2079,796,1386,55,36
2024-06-20 12:19:31,524.0,Test,60,63,23909,39631,7263,4546,18264,5854,1040,2058,63,37
2024-06-20 12:19:31,524.0,Test,66,78,12849,18289,30829,3485,5199,6541,1201,528,77,38
2024-06-20 12:19:31,524.0,Test,74,63,15559,6566,2569,374,2169,2576,336,209,85,39
2024-06-20 12:19:31,524.0,Test,69,50,76278,38716,5431,2136,3643,4451,2704,1897,81,40
2024-06-20 12:19:31,524.0,Test,66,50,143378,74792,12289,7507,28606,7537,2520,1005,79,41
2024-06-20 12:19:31,524.0,Test,69,48,79332,2531,6216,2444,4238,1830,787,728,72,41
2024-06-20 12:19:31,524.0,Test,60,48,43257,63187,16703,9912,20527,8700,12262,3600,60,43
2024-06-20 12:19:31,524.0,Test,56,67,48388,16484,16895,11070,9719,3313,5201,1202,53,43
2024-06-20 12:19:31,524.0,Test,60,64,146376,41768,3849,3001,3606,5351,4243,1013,41,44
2024-06-20 12:19:31,524.0,Test,54,47,49854,87207,7607,12164,2480,11603,4874,1779,50,45
2024-06-20 12:19:31,524.0,Test,57,47,217936,48574,2442,13989,7622,8654,3633,7236,46,46
2024-06-20 12:19:31,524.0,Test,63,50,59400,7687,7572,12289,4804,3512,1343,797,41,47
2024-06-20 12:19:31,524.0,Test,57,47,156365,65778,3309,4860,9731,6037,4002,1876,39,48
2024-06-20 12:19:31,524.0,Test,66,48,52417,71979,10816,9645,4075,18766,1676,1125,40,49
2024-06-20 12:19:31,524.0,Test,64,50,177670,20287,5482,5673,4654,3804,4104,332,39,50
2024-06-20 12:19:31,524.0,Test,56,40,10654,10666,5487,1046,2184,1036,693,373,50,51
2024-06-20 12:19:31,524.0,Test,69,48,73417,22625,6567,721,2474,6630,2918,2035,44,52
2024-06-20 12:19:31,524.0,Test,66,54,93289,34816,4985,13625,6870,9714,2308,812,52,53
2024-06-20 12:19:31,524.0,Test,67,54,41522,16571,5173,2073,1806,2983,926,589,75,54
2024-06-20 12:19:31,524.0,Test,80,38,26165,8803,740,745,3636,1620,859,463,48,55
2024-06-20 12:19:31,524.0,Test,75,48,96558,11910,5843,2388,3236,2826,2103,316,45,57
2024-06-20 12:19:31,524.0,Test,51,40,151362,310849,46288,22859,11636,10337,8801,3641,56,58
2024-06-20 12:19:31,524.0,Test,38,40,163663,65108,16740,13089,17201,3886,2772,852,58,59
2024-06-20 12:19:31,524.0,Test,23,54,86879,27864,9514,2297,2029,1743,770,312,44,60
2024-06-20 12:19:31,524.0,Test,13,47,27264,6453,1468,1195,2184,670,764,366,50,61
2024-06-20 12:19:31,524.0,Test,27,61,29853,7910,6866,1465,2592,1519,632,195,39,61
2024-06-20 12:19:31,524.0,Test,35,64,12099,36259,16185,6502,11274,4476,2410,820,35,62
2024-06-20 12:19:31,524.0,Test,50,77,26530,12879,6225,12522,4256,4734,1636,1403,39,63
2024-06-20 12:19:31,524.0,Test,47,67,31413,52802,3410,5427,6014,3464,2838,1620,41,64
2024-06-20 12:19:31,524.0,Test,51,64,36269,23626,20857,6042,14848,6704,1126,1876,48,65
2024-06-20 12:19:31,524.0,Test,61,77,27896,3910,9298,1363,2057,2516,1173,314,66,66
2024-06-20 12:19:31,524.0,Test,57,84,166586,4417,15880,13105,1213,3897,1590,1719,78,67
2024-06-20 12:19:31,524.0,Test,54,97,25558,73399,34737,16041,10074,5234,1365,2058,81,68
2024-06-20 12:19:31,524.0,Test,51,88,296036,50773,11932,11170,6277,7970,2210,1887,85,69
2024-06-20 12:19:31,524.0,Test,44,77,6355,4808,433,3446,1083,836,269,301,79,70
2024-06-20 12:19:31,524.0,Test,24,56,133049,159356,17445,54885,8582,5932,3242,1891,76,71
2024-06-20 12:19:31,524.0,Test,26,47,34436,51413,6608,5262,5230,2846,1038,558,71,72
2024-06-20 12:19:31,524.0,Test,29,57,31883,4322,6119,2219,1439,1745,487,480,74,73
2024-06-20 12:19:31,524.0,Test,38,56,79981,13755,1763,8618,5251,4299,3469,1245,73,74
2024-06-20 12:19:31,524.0,Test,60,54,72628,23190,8643,3883,4234,4399,1723,651,63,75
2024-06-20 12:19:31,524.0,Test,69,60,205960,63189,20928,6480,11778,8828,2974,1528,57,76
2024-06-20 12:19:31,524.0,Test,66,30,19398,12707,322,890,3649,1468,1184,867,44,77
2024-06-20 12:19:31,524.0,Test,50,11,262565,183100,8343,4393,5505,9676,6474,3632,40,78
2024-06-20 12:19:31,524.0,Test,44,7,184268,74466,14153,6902,6417,7722,4638,2107,40,79
2024-06-20 12:19:31,524.0,Test,41,4,35506,40985,9492,3222,7253,3901,2226,1258,48,80
2024-06-20 12:19:31,524.0,Test,47,8,2610,35499,3788,939,5635,6126,1809,870,53,81
2024-06-20 12:19:31,524.0,Test,44,21,81161,41799,5316,6168,2951,2712,1105,1227,55,82
2024-06-20 12:19:31,524.0,Test,29,24,26502,61667,2424,18660,1161,2500,1245,947,60,83
2024-06-20 12:19:31,524.0,Test,37,24,12362,36784,6434,5554,1763,5598,1451,647,61,84
2024-06-20 12:19:31,524.0,Test,34,50,20110,5733,7888,3443,1569,1991,519,270,47,85
2024-06-20 12:19:31,524.0,Test,34,57,58683,65612,25133,19913,6618,5276,3786,2971,33,86
2024-06-20 12:19:31,524.0,Test,40,60,20297,23371,7743,2895,1559,1886,327,614,31,87
2024-06-20 12:19:31,524.0,Test,41,56,74264,17960,445,3946,2382,2642,1458,801,38,88
2024-06-20 12:19:31,524.0,Test,51,47,16282,15006,3947,14099,15718,8262,10164,5745,50,89
2024-06-20 12:19:31,524.0,Test,61,40,184311,61626,9302,8077,3574,8044,2538,1352,51,90
2024-06-20 12:19:31,524.0,Test,57,40,79369,47947,17093,6012,4150,2936,5792,5230,55,91
2024-06-20 12:19:31,524.0,Test,41,35,2675517,1295729,145223,24121,46536,49234,24425,34652,61,92
2024-06-20 12:19:31,524.0,Test,20,35,180400,22355,10590,2636,3632,1624,2271,432,56,93
2024-06-20 12:19:31,524.0,Test,8,48,186038,9300,2450,7385,807,826,377,1045,46,94
2024-06-20 12:19:31,524.0,Test,8,56,263503,33179,17084,24708,5412,3301,7033,1514,39,95
2024-06-20 12:19:31,524.0,Test,7,50,90529,64085,2822,1617,4298,2050,1957,925,35,96
