Date,Duration,Tag,Attention,Relaxation,Delta,Theta,Low-Alpha,High-Alpha,Low-Beta,High-Beta,Low-Gamma,Mid-Gamma,SyncRate,Time-set
2024-05-30 16:11:27,1384.0,Test,60,83,73660,67406,17277,27462,11492,13378,2776,6844,0,1
2024-05-30 16:11:27,1384.0,Test,60,78,86077,40367,2542,23238,5669,12854,14559,1772,0,2
2024-05-30 16:11:27,1384.0,Test,64,69,26811,34296,8445,4606,5452,8145,7341,1736,0,3
2024-05-30 16:11:27,1384.0,Test,91,70,32064,7224,6246,9459,16516,9813,3860,1773,0,4
2024-05-30 16:11:27,1384.0,Test,83,74,70669,65644,13091,26487,3584,5776,3519,3876,0,5
2024-05-30 16:11:27,1384.0,Test,90,75,14913,19048,3423,14029,4148,10564,3624,1836,0,6
2024-05-30 16:11:27,1384.0,Test,70,83,203411,37997,28720,3205,2744,2547,1300,934,0,7
2024-05-30 16:11:27,1384.0,Test,69,69,86704,17369,590,2376,5861,6714,2867,3946,0,8
2024-05-30 16:11:27,1384.0,Test,63,57,152178,34909,3801,2412,1913,1382,1372,728,0,9
2024-05-30 16:11:27,1384.0,Test,50,63,40870,18856,22546,6688,9466,4547,6131,2113,53,10
2024-05-30 16:11:27,1384.0,Test,74,51,5210,7389,1719,934,1261,2992,922,976,56,11
2024-05-30 16:11:27,1384.0,Test,77,70,1167818,16751,18914,16651,7602,22340,9506,2651,62,12
2024-05-30 16:11:27,1384.0,Test,81,80,89942,38581,6694,10653,3048,2892,1287,795,58,13
2024-05-30 16:11:27,1384.0,Test,87,75,21170,9440,3811,2810,1365,2338,626,358,60,14
2024-05-30 16:11:27,1384.0,Test,78,75,133503,68390,11069,8799,17377,12203,1944,3418,58,15
2024-05-30 16:11:27,1384.0,Test,64,77,76248,29472,32862,12683,13556,9722,10930,3541,56,16
2024-05-30 16:11:27,1384.0,Test,78,77,5793,22386,5415,6981,1898,6255,2845,3222,64,17
2024-05-30 16:11:27,1384.0,Test,91,80,6390,3372,820,13527,7481,12519,3992,1174,73,18
2024-05-30 16:11:27,1384.0,Test,87,97,19805,13343,33425,7190,4212,5921,3822,4520,74,19
2024-05-30 16:11:27,1384.0,Test,90,90,6716,21221,9028,3394,4489,7658,2754,1780,73,20
2024-05-30 16:11:27,1384.0,Test,64,78,238652,90300,4993,5920,2247,1952,1773,587,68,21
2024-05-30 16:11:27,1384.0,Test,38,77,349086,150664,77146,23883,16063,13697,10130,3169,61,22
2024-05-30 16:11:27,1384.0,Test,40,69,15943,15310,21646,4603,8445,5533,4818,2089,65,23
2024-05-30 16:11:27,1384.0,Test,38,63,19100,31080,5841,2978,11992,6806,4176,3310,70,24
2024-05-30 16:11:27,1384.0,Test,61,80,509459,33570,39684,10351,13359,17205,4201,2408,73,25
2024-05-30 16:11:27,1384.0,Test,75,75,14287,9253,2086,3244,3411,2983,1606,641,70,26
2024-05-30 16:11:27,1384.0,Test,69,67,28163,52439,10217,16438,7329,6297,5194,1856,65,27
2024-05-30 16:11:27,1384.0,Test,77,80,72434,14356,18969,9644,16485,12993,2328,2206,61,28
2024-05-30 16:11:27,1384.0,Test,75,78,12970,29060,20285,2512,4938,9992,6306,1737,59,29
2024-05-30 16:11:27,1384.0,Test,78,77,152753,24716,206,9629,1389,8555,1162,801,62,30
2024-05-30 16:11:27,1384.0,Test,91,75,36952,25031,12350,2876,10586,12252,1477,5528,67,31
2024-05-30 16:11:27,1384.0,Test,84,75,6580,7673,5463,2034,853,2328,1044,469,77,32
2024-05-30 16:11:27,1384.0,Test,84,69,16736,32547,10679,4416,4788,7985,6142,4528,77,33
2024-05-30 16:11:27,1384.0,Test,80,69,39871,92703,28448,7957,10840,22537,9523,1703,44,34
2024-05-30 16:11:27,1384.0,Test,80,69,131405,28625,15168,4814,12081,14058,3220,4333,53,34
2024-05-30 16:11:27,1384.0,Test,91,57,20922,24617,9363,1591,11459,18180,2932,2047,47,35
2024-05-30 16:11:27,1384.0,Test,96,61,27555,11918,3647,15984,20658,9582,4964,3181,27,36
2024-05-30 16:11:27,1384.0,Test,90,75,12230,5656,6182,2546,1196,1333,735,310,34,37
2024-05-30 16:11:27,1384.0,Test,84,80,90115,30254,13250,16944,6646,10302,3834,1686,37,38
2024-05-30 16:11:27,1384.0,Test,60,80,215508,89055,6627,17858,14788,4192,2414,1866,30,40
2024-05-30 16:11:27,1384.0,Test,26,77,228385,264110,80711,27975,17586,3146,6244,3818,32,41
2024-05-30 16:11:27,1384.0,Test,23,78,26326,8846,11938,2167,1918,1102,998,690,31,42
2024-05-30 16:11:27,1384.0,Test,24,70,29382,40894,10542,8187,4488,10817,1085,902,35,43
2024-05-30 16:11:27,1384.0,Test,40,70,77449,54922,8677,5426,4188,10437,2763,3931,35,44
2024-05-30 16:11:27,1384.0,Test,67,75,13051,22376,10971,10659,8074,7425,3012,4662,40,45
2024-05-30 16:11:27,1384.0,Test,77,75,13736,15707,4808,26061,8990,5183,3491,3170,45,46
2024-05-30 16:11:27,1384.0,Test,77,84,140924,27626,25623,30142,15494,14421,7573,1503,58,47
2024-05-30 16:11:27,1384.0,Test,75,90,461143,68419,12474,15205,7497,10815,5861,9016,60,48
2024-05-30 16:11:27,1384.0,Test,60,78,79294,29535,5076,711,2023,1306,2735,269,63,49
2024-05-30 16:11:27,1384.0,Test,64,75,12101,9219,8189,5213,4250,4554,2282,2161,70,50
2024-05-30 16:11:27,1384.0,Test,67,78,8038,5155,12834,5685,2209,6503,3426,1640,72,51
2024-05-30 16:11:27,1384.0,Test,67,70,451236,130975,18251,8487,19221,17006,8013,2586,78,52
2024-05-30 16:11:27,1384.0,Test,81,78,76582,34172,4943,11050,10134,7652,4008,4020,76,53
2024-05-30 16:11:27,1384.0,Test,84,75,23632,30408,17897,9210,4660,15974,1708,3605,60,54
2024-05-30 16:11:27,1384.0,Test,77,77,15850,15990,33269,5114,2983,6287,7001,2017,55,54
2024-05-30 16:11:27,1384.0,Test,69,80,429911,66264,4454,12618,4453,4842,2946,3441,51,55
2024-05-30 16:11:27,1384.0,Test,61,83,29112,22435,2770,9683,3220,2225,694,335,42,56
2024-05-30 16:11:27,1384.0,Test,56,83,60103,24574,12213,6565,4904,6619,5139,2058,41,57
2024-05-30 16:11:27,1384.0,Test,61,78,5184,1860,2289,2448,1458,1311,1053,841,41,58
2024-05-30 16:11:27,1384.0,Test,70,100,47725,7246,24664,5049,1970,5929,6555,3304,45,59
2024-05-30 16:11:27,1384.0,Test,81,96,18477,13048,2478,4995,4294,3773,3724,1293,56,60
2024-05-30 16:11:27,1384.0,Test,75,100,11890,13636,34658,8196,3009,4385,5560,2482,50,61
2024-05-30 16:11:27,1384.0,Test,69,100,44115,15418,16419,5670,4304,4308,3109,1898,53,62
2024-05-30 16:11:27,1384.0,Test,69,100,6386,7520,7766,21944,2022,5960,4475,1751,63,63
2024-05-30 16:11:27,1384.0,Test,61,100,14646,38875,15794,3486,6597,4499,4387,2250,70,64
2024-05-30 16:11:27,1384.0,Test,80,93,13468,22219,10710,14555,13532,26332,6975,1037,73,65
2024-05-30 16:11:27,1384.0,Test,88,83,60215,9981,8169,4822,16216,6780,7878,1159,62,66
2024-05-30 16:11:27,1384.0,Test,91,69,22851,27183,10543,7720,6749,9118,3317,4057,44,67
2024-05-30 16:11:27,1384.0,Test,100,61,6436,36303,4041,4704,8600,9109,7112,2009,22,68
2024-05-30 16:11:27,1384.0,Test,93,56,18748,15625,4413,2020,5443,5485,2729,1347,20,70
2024-05-30 16:11:27,1384.0,Test,81,50,88082,84545,5633,12378,7384,7956,2726,1858,24,71
2024-05-30 16:11:27,1384.0,Test,78,43,33244,101284,22407,7497,14863,18834,3772,1466,30,72
2024-05-30 16:11:27,1384.0,Test,74,53,87289,44582,13045,15367,8321,9805,5510,1587,34,73
2024-05-30 16:11:27,1384.0,Test,67,63,15623,32180,27502,4829,3041,10239,1878,876,41,74
2024-05-30 16:11:27,1384.0,Test,64,70,176804,73184,22706,20582,17210,6846,3636,4100,45,75
2024-05-30 16:11:27,1384.0,Test,51,87,32369,17039,12232,7022,1767,1174,465,372,33,75
2024-05-30 16:11:27,1384.0,Test,60,83,37199,30645,11783,4938,14552,13331,4029,1050,28,76
2024-05-30 16:11:27,1384.0,Test,60,74,43467,53450,7509,10498,13313,10975,2454,3471,24,77
2024-05-30 16:11:27,1384.0,Test,74,78,64944,7726,9606,8511,8548,6078,6623,1965,23,78
2024-05-30 16:11:27,1384.0,Test,91,70,19180,19356,5593,9006,4579,7804,2354,1786,32,79
2024-05-30 16:11:27,1384.0,Test,88,80,21248,19936,31401,11097,18195,15126,2800,2980,43,80
2024-05-30 16:11:27,1384.0,Test,87,80,36771,56992,3715,15669,19095,10131,3724,3589,50,81
2024-05-30 16:11:27,1384.0,Test,78,84,29384,34717,52251,9763,6861,8292,3488,1670,53,82
2024-05-30 16:11:27,1384.0,Test,75,81,4452,9914,2463,2444,1442,2192,2117,373,49,83
2024-05-30 16:11:27,1384.0,Test,74,74,14785,17227,2702,7409,7600,5902,2303,2329,37,84
2024-05-30 16:11:27,1384.0,Test,77,80,27064,62588,24583,19581,4158,17515,2531,1612,46,85
2024-05-30 16:11:27,1384.0,Test,83,67,29170,52143,20640,7040,8036,15326,4586,2268,55,86
2024-05-30 16:11:27,1384.0,Test,77,69,99254,18732,5402,6741,4767,2619,1583,351,46,87
2024-05-30 16:11:27,1384.0,Test,67,78,1709205,36365,4116,30464,7883,5832,7333,3550,43,88
2024-05-30 16:11:27,1384.0,Test,66,84,14339,10708,2887,17540,5992,4477,2754,1525,37,89
2024-05-30 16:11:27,1384.0,Test,66,93,8705,12656,11701,7338,3266,6590,3011,1860,28,90
2024-05-30 16:11:27,1384.0,Test,66,93,24276,44828,17070,15023,15736,6947,3967,838,23,91
2024-05-30 16:11:27,1384.0,Test,63,77,153217,56584,4496,6459,7750,3974,6005,1545,27,92
2024-05-30 16:11:27,1384.0,Test,56,69,133962,110784,64381,17483,26500,12104,3232,4354,40,93
2024-05-30 16:11:27,1384.0,Test,56,54,147929,17291,4501,1837,7375,4240,1358,472,48,94
2024-05-30 16:11:27,1384.0,Test,53,57,10330,13630,8403,2102,2440,1612,1094,1041,53,95
2024-05-30 16:11:27,1384.0,Test,60,56,666337,61336,5939,5049,7141,7858,4210,5677,61,96
2024-05-30 16:11:27,1384.0,Test,63,54,50540,37099,4135,12580,6133,4420,6430,924,66,97
2024-05-30 16:11:27,1384.0,Test,63,64,84364,16141,7227,17769,15073,8250,3117,1778,63,98
2024-05-30 16:11:27,1384.0,Test,77,69,31294,8574,13101,10756,5266,8964,4824,1444,55,99
2024-05-30 16:11:27,1384.0,Test,78,90,60281,13825,10703,18054,8332,7059,6476,2287,60,100
2024-05-30 16:11:27,1384.0,Test,84,100,9154,9380,24232,6395,7318,7151,3455,1628,73,101
2024-05-30 16:11:27,1384.0,Test,83,93,26623,32013,10021,4170,5739,8542,2436,2122,80,102
2024-05-30 16:11:27,1384.0,Test,74,88,14285,34300,8726,19792,6569,6062,6465,2843,85,103
2024-05-30 16:11:27,1384.0,Test,74,69,30149,136865,15957,8229,13904,25586,7312,2983,85,104
2024-05-30 16:11:27,1384.0,Test,64,64,226273,37956,22953,11483,3173,5361,4846,3074,85,105
2024-05-30 16:11:27,1384.0,Test,57,56,27849,24506,2992,799,1230,2761,1488,416,84,106
2024-05-30 16:11:27,1384.0,Test,61,53,2594,22195,3792,10740,9870,5026,3707,3978,82,107
2024-05-30 16:11:27,1384.0,Test,61,70,45714,24415,26507,12083,4397,10245,5269,3311,75,108
2024-05-30 16:11:27,1384.0,Test,66,69,27126,47493,22171,20623,11000,11097,3130,1069,71,109
2024-05-30 16:11:27,1384.0,Test,74,91,10075,8837,26634,5683,9202,8454,3693,3172,66,110
2024-05-30 16:11:27,1384.0,Test,70,97,69191,38134,46301,4729,9960,9752,4568,4016,63,111
2024-05-30 16:11:27,1384.0,Test,63,94,112093,16326,3644,8774,677,2090,1077,861,60,112
2024-05-30 16:11:27,1384.0,Test,74,83,63753,29902,4981,3243,7624,11446,8825,2244,63,113
2024-05-30 16:11:27,1384.0,Test,74,78,14410,27278,10366,29579,7882,16712,5188,4077,73,114
2024-05-30 16:11:27,1384.0,Test,84,66,105576,17650,3158,7869,14158,11897,11104,4433,68,115
2024-05-30 16:11:27,1384.0,Test,88,74,10649,6342,6199,5877,1686,1939,1908,711,61,116
2024-05-30 16:11:27,1384.0,Test,88,77,160256,37640,10646,9241,15024,18139,7163,4548,49,117
2024-05-30 16:11:27,1384.0,Test,90,63,20473,34695,5736,5610,10513,12924,7110,4179,38,118
2024-05-30 16:11:27,1384.0,Test,78,63,16516,27262,2506,8558,5498,4434,11276,4919,25,119
2024-05-30 16:11:27,1384.0,Test,84,51,14705,28736,8932,7036,7723,9423,5057,3860,27,120
2024-05-30 16:11:27,1384.0,Test,88,61,1910,18329,17100,14329,10615,18455,5756,1280,30,121
2024-05-30 16:11:27,1384.0,Test,90,66,15440,32585,6498,15415,12310,17121,5928,2383,38,122
2024-05-30 16:11:27,1384.0,Test,96,69,5748,27685,10816,10908,11432,10310,5427,2904,48,123
2024-05-30 16:11:27,1384.0,Test,100,70,65125,14315,5134,6720,6072,8201,4576,2008,63,124
2024-05-30 16:11:27,1384.0,Test,96,75,38309,11343,16406,17522,9923,12439,5723,4703,62,125
2024-05-30 16:11:27,1384.0,Test,84,77,30943,20893,11443,10512,9204,14515,4763,1478,57,127
2024-05-30 16:11:27,1384.0,Test,81,77,16764,6888,2799,3090,3003,2990,1321,902,56,128
2024-05-30 16:11:27,1384.0,Test,75,74,19647,24069,32622,7715,23413,11122,5884,2879,57,129
2024-05-30 16:11:27,1384.0,Test,80,87,8590,15331,25868,12478,11611,5045,2014,2800,50,130
2024-05-30 16:11:27,1384.0,Test,69,84,35169,29641,9757,14300,18176,7247,6774,2993,36,131
2024-05-30 16:11:27,1384.0,Test,66,88,45972,17508,10960,11458,5955,6838,4048,1467,29,132
2024-05-30 16:11:27,1384.0,Test,60,84,135734,119310,44009,17464,10190,14345,8173,2786,27,133
2024-05-30 16:11:27,1384.0,Test,57,53,115830,53049,1191,1684,3374,4566,3239,724,47,134
2024-05-30 16:11:27,1384.0,Test,66,63,13663,9895,41468,2432,11691,15568,12993,5605,52,135
2024-05-30 16:11:27,1384.0,Test,63,56,37559,30178,8457,11075,20636,6149,6827,6386,57,136
2024-05-30 16:11:27,1384.0,Test,69,63,75798,30338,35317,6353,9424,10995,12369,2755,57,137
2024-05-30 16:11:27,1384.0,Test,84,83,19144,21507,13926,1407,6839,13260,5114,6943,63,138
2024-05-30 16:11:27,1384.0,Test,87,64,821,5735,451,1574,2885,3295,1195,824,51,139
2024-05-30 16:11:27,1384.0,Test,81,66,144035,86257,28187,14660,11356,8748,2614,2231,50,140
2024-05-30 16:11:27,1384.0,Test,64,50,63646,105437,16728,5449,17478,4043,2969,3991,52,141
2024-05-30 16:11:27,1384.0,Test,48,60,38452,30016,34773,9323,3009,6436,3800,1327,57,142
2024-05-30 16:11:27,1384.0,Test,21,69,184064,75797,28779,6471,1727,2932,1551,1098,60,143
2024-05-30 16:11:27,1384.0,Test,41,70,38525,15592,18279,3750,10064,19046,3281,2818,52,144
2024-05-30 16:11:27,1384.0,Test,48,93,12143,7089,1047,12913,2583,1221,948,377,49,145
2024-05-30 16:11:27,1384.0,Test,48,97,108605,28485,81212,12202,10541,8270,4284,2849,45,146
2024-05-30 16:11:27,1384.0,Test,63,84,25881,66861,2287,6933,7117,9477,2630,2677,40,147
2024-05-30 16:11:27,1384.0,Test,51,80,1037235,48558,15822,8177,14950,11964,10664,990,39,148
2024-05-30 16:11:27,1384.0,Test,61,67,23031,37486,15929,7203,10957,7779,4817,4259,41,149
2024-05-30 16:11:27,1384.0,Test,66,50,27300,23510,8137,2324,6883,4870,4130,2987,44,150
2024-05-30 16:11:27,1384.0,Test,69,67,20262,12109,13459,5930,11230,4815,2880,1544,48,151
2024-05-30 16:11:27,1384.0,Test,70,69,42179,20627,6446,6318,9067,6855,3211,3348,50,152
2024-05-30 16:11:27,1384.0,Test,77,81,18958,8925,19306,10163,5674,8551,4610,5601,44,153
2024-05-30 16:11:27,1384.0,Test,87,80,8441,12829,4113,6063,11206,8855,10045,5365,38,154
2024-05-30 16:11:27,1384.0,Test,90,81,7868,14011,11178,11079,7498,6891,4469,3196,46,155
2024-05-30 16:11:27,1384.0,Test,100,81,56723,24591,13083,5468,4422,22162,3260,1355,59,156
2024-05-30 16:11:27,1384.0,Test,100,69,6713,25760,9307,12730,17794,11392,3745,2062,62,157
2024-05-30 16:11:27,1384.0,Test,100,77,8257,9652,7905,9677,8691,11210,2914,1645,75,158
2024-05-30 16:11:27,1384.0,Test,96,69,51631,22013,6615,3676,2330,4345,1257,1946,79,159
2024-05-30 16:11:27,1384.0,Test,97,66,5677,12405,1864,6412,4228,12260,9809,2344,65,160
