,Platform,Year,Genre,EU_Sales
197,GB,1989,Misc,0.0
198,GB,1989,Shooter,0.39
199,GB,1989,Role-Playing,0.0
200,NES,1989,Role-Playing,0.0
201,NES,1989,Platform,0.07
202,2600,1989,Action,0.02
203,2600,1989,Puzzle,0.01
204,NES,1989,Puzzle,0.0
205,SNES,1990,Platform,3.75
206,NES,1990,Puzzle,0.6
207,GB,1990,Racing,0.69
208,NES,1990,Role-Playing,0.0
209,SNES,1990,Racing,0.51
210,GEN,1990,Action,0.55
211,NES,1990,Action,0.25
212,SNES,1990,Action,0.17
213,NES,1990,Sports,0.5
214,NES,1990,Role-Playing,0.0
215,NES,1990,Platform,0.14
216,NES,1990,Platform,0.1
217,GB,1990,Puzzle,0.2
218,SNES,1990,Simulation,0.17
219,GB,1990,Sports,0.0
220,NES,1990,Sports,0.0
221,SNES,1991,Action,0.91
222,GEN,1991,Platform,0.91
223,SNES,1991,Simulation,0.27
224,SNES,1991,Role-Playing,0.09
225,GB,1991,Adventure,0.31
226,NES,1991,Puzzle,0.13
227,SNES,1991,Shooter,0.38
228,NES,1991,Action,0.17
229,SNES,1991,Platform,0.14
230,GB,1991,Racing,0.37
231,NES,1991,Sports,0.1
232,NES,1991,Platform,0.09
233,GB,1991,Role-Playing,0.0
234,GB,1991,Puzzle,0.0
235,SNES,1991,Platform,0.05
236,SNES,1991,Adventure,0.0
237,NES,1991,Puzzle,0.03
238,SNES,1991,Action,0.0
239,SNES,1991,Fighting,0.0
240,SNES,1991,Sports,0.0
241,GB,1991,Role-Playing,0.0
242,SNES,1991,Sports,0.0
243,SNES,1991,Strategy,0.0
244,NES,1991,Puzzle,0.0
245,SNES,1991,Role-Playing,0.0
246,GB,1991,Platform,0.0
247,NES,1991,Sports,0.0
248,GB,1991,Platform,0.0
249,SNES,1991,Action,0.0
250,SNES,1991,Strategy,0.0
251,SNES,1991,Shooter,0.0
252,SNES,1991,Sports,0.0
253,GB,1991,Strategy,0.0
254,SNES,1991,Strategy,0.0
255,SNES,1991,Simulation,0.0
256,SNES,1991,Sports,0.0
257,SNES,1991,Shooter,0.0
258,SNES,1991,Misc,0.0
259,SNES,1991,Sports,0.0
260,GB,1991,Action,0.0
261,SNES,1991,Role-Playing,0.0
262,GB,1992,Adventure,2.04
263,SNES,1992,Racing,1.24
264,SNES,1992,Fighting,0.83
265,GEN,1992,Platform,1.2
