,Platform,Year,Genre,Global_Sales
197,GB,1989,Misc,1.28
198,GB,1989,Shooter,1.2
199,GB,1989,Role-Playing,1.1
200,NES,1989,Role-Playing,1.1
201,NES,1989,Platform,0.85
202,2600,1989,Action,0.47
203,2600,1989,Puzzle,0.15
204,NES,1989,Puzzle,0.06
205,SNES,1990,Platform,20.61
206,NES,1990,Puzzle,4.85
207,GB,1990,Racing,3.41
208,NES,1990,Role-Playing,3.12
209,SNES,1990,Racing,2.85
210,GEN,1990,Action,2.6
211,NES,1990,Action,2.23
212,SNES,1990,Action,1.56
213,NES,1990,Sports,1.48
214,NES,1990,Role-Playing,1.4
215,NES,1990,Platform,1.19
216,NES,1990,Platform,1.17
217,GB,1990,Puzzle,1.15
218,SNES,1990,Simulation,1.14
219,GB,1990,Sports,0.33
220,NES,1990,Sports,0.3
221,SNES,1991,Action,4.61
222,GEN,1991,Platform,4.34
223,SNES,1991,Simulation,1.98
224,SNES,1991,Role-Playing,1.77
225,GB,1991,Adventure,1.76
226,NES,1991,Puzzle,1.75
227,SNES,1991,Shooter,1.65
228,NES,1991,Action,1.39
229,SNES,1991,Platform,1.18
230,GB,1991,Racing,1.14
231,NES,1991,Sports,1.0
232,NES,1991,Platform,0.93
233,GB,1991,Role-Playing,0.76
234,GB,1991,Puzzle,0.73
235,SNES,1991,Platform,0.63
236,SNES,1991,Adventure,0.48
237,NES,1991,Puzzle,0.44
238,SNES,1991,Action,0.42
239,SNES,1991,Fighting,0.39
240,SNES,1991,Sports,0.38
241,GB,1991,Role-Playing,0.38
242,SNES,1991,Sports,0.33
243,SNES,1991,Strategy,0.33
244,NES,1991,Puzzle,0.32
245,SNES,1991,Role-Playing,0.29
246,GB,1991,Platform,0.28
247,NES,1991,Sports,0.28
248,GB,1991,Platform,0.28
249,SNES,1991,Action,0.28
250,SNES,1991,Strategy,0.25
251,SNES,1991,Shooter,0.23
252,SNES,1991,Sports,0.2
253,GB,1991,Strategy,0.18
254,SNES,1991,Strategy,0.18
255,SNES,1991,Simulation,0.16
256,SNES,1991,Sports,0.15
257,SNES,1991,Shooter,0.12
258,SNES,1991,Misc,0.08
259,SNES,1991,Sports,0.07
260,GB,1991,Action,0.06
261,SNES,1991,Role-Playing,0.05
262,GB,1992,Adventure,11.18
263,SNES,1992,Racing,8.76
264,SNES,1992,Fighting,6.3
265,GEN,1992,Platform,6.03
266,GB,1992,Platform,5.13
267,SNES,1992,Fighting,4.1
268,GB,1992,Action,3.83
269,SNES,1992,Role-Playing,2.79
270,SNES,1992,Misc,2.75
271,GEN,1992,Fighting,2.67
272,SNES,1992,Role-Playing,2.45
273,GB,1992,Misc,2.19
274,PC,1992,Simulation,2.14
275,GEN,1992,Sports,2.05
276,GB,1992,Puzzle,1.68
277,GEN,1992,Fighting,1.66
278,GB,1992,Puzzle,1.24
279,SNES,1992,Platform,1.21
280,NES,1992,Puzzle,1.12
281,SNES,1992,Role-Playing,0.97
282,NES,1992,Platform,0.79
283,PC,1992,Adventure,0.78
284,SNES,1992,Role-Playing,0.58
285,SNES,1992,Puzzle,0.57
286,SNES,1992,Sports,0.46
287,SNES,1992,Fighting,0.39
288,SNES,1992,Strategy,0.29
289,SNES,1992,Sports,0.28
290,SNES,1992,Racing,0.28
291,GB,1992,Puzzle,0.23
292,SNES,1992,Platform,0.22
293,SNES,1992,Adventure,0.16
294,SNES,1992,Sports,0.16
295,SNES,1992,Shooter,0.13
296,GEN,1992,Shooter,0.13
297,GEN,1992,Adventure,0.12
298,NES,1992,Fighting,0.07
299,SNES,1992,Role-Playing,0.07
300,PC,1992,Strategy,0.06
301,SNES,1992,Fighting,0.06
302,GG,1992,Platform,0.04
303,PC,1992,Shooter,0.03
304,PC,1992,Strategy,0.01
305,SNES,1993,Platform,10.55
306,SNES,1993,Shooter,2.99
307,SNES,1993,Fighting,2.0
308,SNES,1993,Fighting,1.93
309,SNES,1993,Role-Playing,1.83
