,Platform,Year,Genre,JP_Sales
197,GB,1989,Misc,1.28
198,GB,1989,Shooter,0.36
199,GB,1989,Role-Playing,1.1
200,NES,1989,Role-Playing,1.1
201,NES,1989,Platform,0.37
202,2600,1989,Action,0.0
203,2600,1989,Puzzle,0.0
204,NES,1989,Puzzle,0.0
205,SNES,1990,Platform,3.54
206,NES,1990,Puzzle,1.52
207,GB,1990,Racing,0.59
208,NES,1990,Role-Playing,3.03
209,SNES,1990,Racing,0.89
210,GEN,1990,Action,0.11
211,NES,1990,Action,0.21
212,SNES,1990,Action,0.69
213,NES,1990,Sports,0.65
214,NES,1990,Role-Playing,1.39
215,NES,1990,Platform,0.35
216,NES,1990,Platform,0.39
217,GB,1990,Puzzle,0.41
218,SNES,1990,Simulation,0.48
219,GB,1990,Sports,0.33
220,NES,1990,Sports,0.3
221,SNES,1991,Action,1.15
222,GEN,1991,Platform,0.26
223,SNES,1991,Simulation,0.75
224,SNES,1991,Role-Playing,1.33
225,GB,1991,Adventure,0.56
226,NES,1991,Puzzle,0.91
227,SNES,1991,Shooter,0.15
228,NES,1991,Action,0.15
229,SNES,1991,Platform,0.52
230,GB,1991,Racing,0.15
231,NES,1991,Sports,0.47
232,NES,1991,Platform,0.32
233,GB,1991,Role-Playing,0.76
234,GB,1991,Puzzle,0.73
235,SNES,1991,Platform,0.25
236,SNES,1991,Adventure,0.48
237,NES,1991,Puzzle,0.15
238,SNES,1991,Action,0.42
239,SNES,1991,Fighting,0.39
240,SNES,1991,Sports,0.38
241,GB,1991,Role-Playing,0.38
242,SNES,1991,Sports,0.33
243,SNES,1991,Strategy,0.33
244,NES,1991,Puzzle,0.32
245,SNES,1991,Role-Playing,0.29
246,GB,1991,Platform,0.28
247,NES,1991,Sports,0.28
248,GB,1991,Platform,0.28
249,SNES,1991,Action,0.28
250,SNES,1991,Strategy,0.25
251,SNES,1991,Shooter,0.23
252,SNES,1991,Sports,0.2
253,GB,1991,Strategy,0.18
254,SNES,1991,Strategy,0.18
255,SNES,1991,Simulation,0.16
256,SNES,1991,Sports,0.15
257,SNES,1991,Shooter,0.12
